"birdID","Sex","Lifespan","Yr","Mated","Terrs","Poccup","Pfledge","Fledge"
"15","M","1","1",1,"25",0.534296540285584,0.429516366289841,4
"43","M","3","1",1,"52",0.389935775579837,0.590640672489713,2
"89","M","4","1",1,"64",0.500815776991483,0.325685453434842,1
"91","M","1","1",1,"114",0.569254912082244,0.519949096228506,2
"94","M","1","1",1,"88",0.632382764329435,0.625142431318955,2
"120","M","1","1",1,"101",0.697516710094258,0.70805231959435,2
"140","M","4","1",1,"59",0.637112612426355,0.465096695159822,1
"157","M","3","1",1,"55",0.548033225692281,0.461364696395463,2
"174","M","6","1",1,"16",0.564358113636974,0.452422252003894,0
"195","M","2","1",1,"30",0.531138739257495,0.516555979882637,2
"232","F","1","1",1,"88",0.632382764329435,0.625142431318955,2
"68","F","2","1",1,"16",0.564358113636974,0.452422252003894,0
"223","F","3","1",1,"30",0.531138739257495,0.516555979882637,2
"154","F","1","1",1,"59",0.637112612426355,0.465096695159822,1
"118","F","1","1",1,"64",0.500815776991483,0.325685453434842,1
"124","F","2","1",1,"55",0.548033225692281,0.461364696395463,2
"6","F","2","1",1,"101",0.697516710094258,0.70805231959435,2
"116","F","2","1",1,"52",0.389935775579837,0.590640672489713,2
"97","F","2","1",1,"25",0.534296540285584,0.429516366289841,4
"145","F","2","1",1,"114",0.569254912082244,0.519949096228506,2
"128","M","1","1",0,"86",0.829946284336963,0.730371007558599,0
"201","M","1","1",0,"9",0.289936521861087,0.350628591731645,0
"221","M","3","1",0,"108",0.622098112143491,0.543324437376613,0
"243","M","2","1",0,"76",0.499905955241842,0.505608819582607,0
"12","F","1","1",0,"50",0.523761802038983,0.542722828167714,0
"223","F","3","2",1,"100",0.558284566839713,0.136353602706203,1
"116","F","2","2",1,"25",0.591945940355342,0.322137274717381,2
"6","F","2","2",1,"42",0.719566390508674,0.386147000580543,2
"97","F","2","2",1,"48",0.558597457277044,0.285533956882917,1
"145","F","2","2",1,"75",0.457674676339958,0.429604494289576,1
"54","F","8","2",1,"76",0.499905955241842,0.379206614686955,2
"78","F","1","2",1,"88",0.632382764329435,0.468856823489216,4
"125","F","2","2",1,"22",0.632591492672598,0.424344429399997,3
"138","F","2","2",1,"120",0.536016758692292,0.37970543052034,1
"146","F","3","2",1,"12",0.362401644433655,0.483968779686944,4
"156","F","3","2",1,"46",0.461530143307355,0.445222646496103,1
"173","F","1","2",1,"119",0.377839361792864,0.47415198661957,2
"206","F","5","2",1,"108",0.622098112143491,0.40749332803246,1
"152","F","3","2",0,"109",0.634167069089339,0.587059862856098,0
"243","M","2","2",1,"76",0.499905955241842,0.379206614686955,2
"43","M","3","2",1,"65",0.591945940355342,0.328744376060039,1
"157","M","3","2",1,"25",0.534296540285584,0.322137274717381,2
"174","M","6","2",1,"100",0.554606433810499,0.136353602706203,1
"195","M","2","2",1,"118",0.558284566839713,0.37560116826698,3
"140","M","4","2",1,"46",0.461530143307355,0.445222646496103,1
"35","M","5","2",1,"75",0.457674676339958,0.429604494289576,1
"63","M","4","2",1,"119",0.377839361792864,0.47415198661957,2
"103","M","2","2",1,"22",0.632591492672598,0.424344429399997,3
"126","M","1","2",1,"88",0.632382764329435,0.468856823489216,4
"161","M","1","2",0,"59",0.637112612426355,0.348822521369866,0
"220","M","1","2",0,"44",0.41640745142889,0.390866640316784,0
"230","M","4","2",0,"62",0.842559480450584,0.290160050454524,0
"223","F","3","3",1,"90",0.427996560692945,0.101638581665231,0
"125","F","2","3",1,"13",0.33409605697551,0.143712186743009,0
"54","F","8","3",1,"78",0.673059509511626,0.354558206080616,1
"146","F","3","3",1,"108",0.622098112143491,0.271662218688306,1
"156","F","3","3",1,"83",0.665102015123494,0.3505422274767,3
"206","F","5","3",1,"46",0.461530143307355,0.296815097664068,2
"99","F","1","3",1,"20",0.714149026453168,0.312283800744578,0
"147","F","2","3",1,"30",0.531138739257495,0.258277989941319,3
"153","F","4","3",1,"11",0.77514264075429,0.270291380856244,2
"171","F","1","3",1,"62",0.842559480450584,0.19344003363635,1
"181","F","5","3",1,"15",0.578705047300856,0.208184883736025,0
"212","F","7","3",1,"19",0.354610297467811,0.137838154366845,0
"214","F","1","3",1,"88",0.632382764329435,0.312571215659477,1
"225","F","7","3",1,"86",0.829946284336963,0.365185503779299,1
"152","F","3","3",0,"109",0.634167069089339,0.293529931428049,0
"138","F","2","3",0,"44",0.41640745142889,0.260577760211189,0
"112","F","2","3",0,"63",0.399456497507877,0.350998950340849,0
"230","M","4","3",1,"62",0.842559480450584,0.145080025227262,1
"103","M","2","3",1,"13",0.33409605697551,0.143712186743009,0
"157","M","3","3",1,"108",0.622098112143491,0.271662218688306,1
"140","M","4","3",1,"83",0.665102015123494,0.3505422274767,3
"35","M","5","3",1,"15",0.578705047300856,0.208184883736025,0
"63","M","4","3",1,"19",0.354610297467811,0.137838154366845,0
"221","M","3","3",1,"11",0.77514264075429,0.270291380856244,2
"71","M","5","3",1,"88",0.632382764329435,0.312571215659477,1
"137","M","2","3",1,"20",0.714149026453168,0.312283800744578,0
"188","M","3","3",1,"30",0.531138739257495,0.258277989941319,3
"1","M","1","3",0,"45",0.769419573124564,0.248020411929226,0
"20","M","3","3",0,"116",0.198583414602528,0.142982180220456,0
"47","M","3","3",0,"73",0.140869325034114,0.355918957725888,0
"98","M","2","3",0,"70",0.331359169176885,0.179894513563721,0
"112","F","2","4",1,"63",0.399456497507877,0.263249212755637,2
"156","F","3","4",1,"6",0.453169202839071,0.425239190316843,1
"147","F","2","4",1,"46",0.577842812012208,0.445222646496103,1
"181","F","5","4",1,"113",0.441661977559282,0.475938550906141,3
"212","F","7","4",1,"89",0.461530143307355,0.345310439546796,1
"54","F","8","4",1,"80",0.677344270168684,0.372049736897563,2
"146","F","3","4",1,"86",0.829946284336963,0.547778255668949,2
"206","F","5","4",1,"53",0.344904989204585,0.351735202667905,2
"153","F","4","4",1,"31",0.55782313451426,0.356721365200798,2
"225","F","7","4",1,"9",0.289936521861087,0.262971443798734,1
"3","F","1","4",1,"117",0.463359671249251,0.305105028075586,2
"4","F","2","4",1,"94",0.678115999823966,0.53203914179972,2
"36","F","1","4",1,"100",0.554606433810499,0.136353602706203,1
"52","F","1","4",1,"79",0.542779580246635,0.431822131272193,3
"121","F","1","4",1,"116",0.198583414602528,0.214473270330684,1
"127","F","2","4",1,"70",0.331359169176885,0.269841770345582,1
"141","F","3","4",1,"58",0.538023705506341,0.406267356198358,0
"143","F","9","4",1,"28",0.491660614217242,0.214099555325652,1
"167","F","9","4",1,"90",0.427996560692945,0.152457872497846,1
"152","F","3","4",0,"109",0.634167069089339,0.220147448571037,0
"9","F","2","4",0,"44",0.41640745142889,0.390866640316783,0
"163","F","11","4",0,"77",0.446216335585959,0.382157734710858,0
"219","F","1","4",0,"1",0.636195131730569,0.327560114820217,0
"20","M","3","4",1,"116",0.198583414602528,0.107236635165342,1
"98","M","2","4",1,"70",0.331359169176885,0.134920885172791,1
"35","M","5","4",1,"89",0.441661977559282,0.345310439546796,1
"63","M","4","4",1,"46",0.461530143307355,0.445222646496103,1
"188","M","3","4",1,"113",0.577842812012208,0.475938550906141,3
"230","M","4","4",1,"79",0.542779580246635,0.431822131272193,3
"71","M","5","4",1,"63",0.399456497507877,0.526498425511274,2
"174","M","6","4",1,"58",0.538023705506341,0.406267356198358,0
"57","M","5","4",1,"31",0.55782313451426,0.356721365200798,2
"38","M","2","4",1,"117",0.463359671249251,0.305105028075586,2
"111","M","5","4",1,"90",0.427996560692945,0.152457872497846,1
"218","M","4","4",1,"86",0.829946284336963,0.547778255668949,2
"39","M","1","4",1,"100",0.554606433810499,0.136353602706203,1
"144","M","2","4",1,"80",0.677344270168684,0.372049736897563,2
"191","M","2","4",1,"53",0.344904989204585,0.351735202667905,2
"189","M","3","4",0,"11",0.77514264075429,0.405437071284367,0
"206","F","5","5",1,"53",0.344904989204585,0.351735202667905,2
"212","F","7","5",1,"47",0.736633530423697,0.628561962341338,3
"54","F","8","5",1,"52",0.539475183377926,0.590640672489713,2
"153","F","4","5",1,"80",0.677344270168684,0.496066315863417,2
"141","F","3","5",1,"26",0.629084302889932,0.634176708556084,2
"167","F","9","5",1,"54",0.389935775579837,0.692396708129919,2
"225","F","7","5",1,"89",0.441661977559282,0.460413919395728,2
"4","F","2","5",1,"111",0.456488378526118,0.342289432652621,1
"127","F","2","5",1,"97",0.482604781691252,0.423494688237818,2
"143","F","9","5",1,"30",0.531138739257495,0.516555979882637,2
"107","F","4","5",1,"16",0.564358113636974,0.452422252003894,2
"16","F","4","5",1,"112",0.59782039153768,0.422648822932343,3
"24","F","2","5",1,"90",0.427996560692945,0.203277163330461,2
"34","F","1","5",1,"57",0.294176060012094,0.510129096484385,3
"49","F","7","5",1,"84",0.441947611818667,0.513918031056496,3
"53","F","2","5",1,"4",0.551563246661096,0.437243680062246,1
"159","F","2","5",1,"106",0.467937840151368,0.326182147250133,1
"238","F","5","5",1,"65",0.591945940355342,0.438325834746719,2
"9","F","2","5",0,"44",0.41640745142889,0.390866640316783,0
"163","F","11","5",0,"77",0.446216335585959,0.382157734710858,0
"181","F","5","5",0,"27",0.633799653576571,0.545016503711517,0
"42","F","7","5",0,"91",0.298447718848887,0.551390590663248,0
"191","M","2","5",1,"53",0.344904989204585,0.351735202667905,2
"35","M","5","5",1,"47",0.736633530423697,0.628561962341338,3
"57","M","5","5",1,"80",0.677344270168684,0.496066315863417,2
"144","M","2","5",1,"26",0.539475183377926,0.634176708556084,2
"20","M","3","5",1,"30",0.531138739257495,0.516555979882637,2
"230","M","4","5",1,"4",0.551563246661096,0.437243680062246,1
"71","M","5","5",1,"16",0.564358113636974,0.452422252003894,2
"218","M","4","5",1,"97",0.482604781691252,0.423494688237818,2
"47","M","3","5",1,"89",0.441661977559282,0.460413919395728,2
"180","M","7","5",1,"84",0.441947611818667,0.513918031056496,3
"13","M","1","5",1,"106",0.467937840151368,0.326182147250133,1
"88","M","1","5",1,"111",0.456488378526118,0.342289432652621,1
"92","M","2","5",1,"57",0.294176060012094,0.510129096484385,3
"135","M","6","5",1,"65",0.591945940355342,0.438325834746719,2
"48","M","2","5",0,"10",0.475970622417757,0.483863623706834,0
"200","M","3","5",0,"29",0.36692207362371,0.492006747600784,0
"107","F","4","6",1,"16",0.564358113636974,0.339316689002921,1
"181","F","5","6",1,"27",0.633799653576571,0.408762377783638,2
"212","F","7","6",1,"90",0.427996560692945,0.152457872497846,2
"153","F","4","6",1,"4",0.551563246661096,0.327932760046685,3
"238","F","5","6",1,"75",0.457674676339958,0.429604494289576,4
"206","F","5","6",1,"66",0.829467160117539,0.31499770915737,1
"54","F","8","6",1,"93",0.275778854550596,0.287863513225373,2
"141","F","3","6",1,"88",0.632382764329435,0.468856823489216,0
"167","F","9","6",1,"117",0.463359671249251,0.305105028075586,1
"225","F","7","6",1,"44",0.41640745142889,0.390866640316784,2
"143","F","9","6",1,"48",0.558597457277044,0.285533956882917,1
"16","F","4","6",1,"10",0.475970622417757,0.362897717780126,3
"24","F","2","6",1,"102",0.628945250532419,0.390042741576107,2
"53","F","2","6",1,"5",0.43660007811908,0.509741730327019,4
"159","F","2","6",1,"78",0.673059509511626,0.531837309120923,1
"163","F","11","6",1,"50",0.523761802038983,0.407042121125786,2
"29","F","3","6",1,"81",0.395537747961833,0.448866891543137,1
"65","F","2","6",1,"35",0.224704249768369,0.399663584472116,1
"184","F","1","6",1,"29",0.36692207362371,0.369005060700588,1
"42","F","7","6",0,"91",0.298447718848887,0.413542942997436,0
"11","F","4","6",0,"14",0.511006421070297,0.493036869275906,0
"170","F","1","6",0,"20",0.714149026453168,0.468425701116867,0
"187","F","1","6",0,"17",0.434406536601443,0.277191265738634,0
"48","M","2","6",1,"10",0.475970622417757,0.362897717780126,3
"180","M","7","6",1,"9",0.289936521861087,0.262971443798734,1
"218","M","4","6",1,"66",0.829467160117539,0.31499770915737,1
"92","M","2","6",1,"48",0.558597457277044,0.285533956882917,1
"174","M","6","6",1,"5",0.43660007811908,0.509741730327019,4
"189","M","3","6",1,"117",0.463359671249251,0.305105028075586,1
"175","M","3","6",1,"93",0.275778854550596,0.287863513225373,2
"44","M","1","6",1,"78",0.673059509511626,0.531837309120923,1
