"birdID","Sex","Lifespan","Yr","Mated","Terrs","Poccup","Pfledge","Fledge"
"5","M","2","1",1,"97",0.725446885601707,0.685751325977417,4
"58","M","2","1",1,"14",0.71227198846604,0.684237896551426,2
"70","M","2","1",1,"6",0.674829914844913,0.531225119496353,2
"84","M","1","1",1,"75",0.70531799859781,0.4821090696526,3
"95","M","2","1",1,"118",0.544155910321083,0.165676760539064,2
"99","M","5","1",1,"46",0.710341427466891,0.636984473813079,4
"125","M","4","1",1,"103",0.551137529718768,0.399468565775992,0
"138","M","1","1",1,"70",0.769219653801166,0.624801012280425,2
"229","M","1","1",1,"62",0.670936407755615,0.665431345343144,1
"117","F","3","1",1,"14",0.71227198846604,0.684237896551426,2
"86","F","1","1",1,"62",0.670936407755615,0.665431345343144,1
"169","F","2","1",1,"46",0.710341427466891,0.636984473813079,4
"15","F","6","1",1,"97",0.725446885601707,0.685751325977417,4
"152","F","1","1",1,"118",0.544155910321083,0.165676760539064,2
"22","F","5","1",1,"103",0.551137529718768,0.399468565775992,0
"40","F","1","1",1,"70",0.769219653801166,0.624801012280425,2
"200","F","5","1",1,"75",0.70531799859781,0.4821090696526,3
"30","F","4","1",1,"6",0.674829914844913,0.531225119496353,2
"49","M","3","1",0,"9",0.43386353859283,0.538992585472525,0
"63","M","1","1",0,"112",0.21856225895425,0.464797343194541,0
"65","M","11","1",0,"83",0.580685448269986,0.624479615915973,0
"250","M","6","1",0,"32",0.532108189036334,0.512181340545849,0
"243","F","5","1",0,"105",0.701629941395286,0.649957531377913,0
"106","F","3","1",0,"109",0.454740684275953,0.295429913445584,0
"34","F","6","1",0,"21",0.702722753047975,0.169068654717682,0
"30","F","4","2",1,"6",0.674829914844913,0.398418839622265,1
"117","F","3","2",1,"86",0.446988939506333,0.375801442676509,1
"15","F","6","2",1,"60",0.478342775705566,0.381086132856685,1
"22","F","5","2",1,"16",0.46486884022733,0.520211810276777,2
"169","F","2","2",1,"45",0.643133471977909,0.260335816844234,2
"200","F","5","2",1,"9",0.43386353859283,0.404244439104394,0
"34","F","6","2",1,"14",0.71227198846604,0.513178422413569,1
"6","F","2","2",1,"89",0.561796295999573,0.592669500679668,3
"8","F","4","2",1,"37",0.491885705453924,0.363976349136008,2
"10","F","1","2",1,"83",0.580685448269986,0.46835971193698,4
"67","F","8","2",1,"62",0.670936407755615,0.499073509007358,3
"118","F","2","2",1,"95",0.608736825058213,0.390745509516784,2
"137","F","1","2",1,"3",0.474548145604968,0.397120575842808,1
"151","F","1","2",1,"97",0.725446885601707,0.514313494483063,1
"161","F","1","2",1,"119",0.735635574398014,0.518735648962724,1
"164","F","1","2",1,"32",0.532108189036334,0.384136005409387,2
"168","F","1","2",1,"4",0.437993485536719,0.108114735316063,0
"243","F","5","2",0,"105",0.701629941395286,0.487468148533435,0
"106","F","3","2",0,"109",0.454740684275953,0.221572435084188,0
"193","F","4","2",0,"84",0.597835392620782,0.374136285249214,0
"241","F","3","2",0,"104",0.529860260197101,0.47168285032874,0
"70","M","2","2",1,"6",0.674829914844913,0.398418839622265,1
"65","M","11","2",1,"83",0.580685448269986,0.46835971193698,4
"250","M","6","2",1,"32",0.532108189036334,0.384136005409387,2
"95","M","2","2",1,"3",0.474548145604968,0.397120575842808,1
"99","M","5","2",1,"62",0.670936407755615,0.499073509007358,3
"174","M","2","2",1,"97",0.725446885601707,0.514313494483063,1
"185","M","3","2",1,"95",0.608736825058213,0.390745509516784,2
"211","M","2","2",1,"119",0.735635574398014,0.518735648962724,1
"212","M","2","2",1,"45",0.643133471977909,0.260335816844234,2
"67","F","8","3",1,"62",0.670936407755615,0.249536754503679,2
"193","F","4","3",1,"84",0.597835392620782,0.187068142624607,0
"118","F","2","3",1,"97",0.725446885601707,0.342875662988708,2
"30","F","4","3",1,"45",0.643133471977909,0.173557211229489,1
"117","F","3","3",1,"73",0.601174383735897,0.354291527846166,1
"15","F","6","3",1,"40",0.621321787086495,0.192903619776189,0
"22","F","5","3",1,"11",0.65813896704296,0.252231795750692,1
"200","F","5","3",1,"72",0.656840080814532,0.253248494087765,2
"6","F","2","3",1,"50",0.390007619716977,0.276974168734399,1
"8","F","4","3",1,"107",0.595500053514972,0.363874112030033,0
"197","F","3","3",1,"1",0.337182945184882,0.349502881821618,1
"38","F","1","3",1,"90",0.495521639129709,0.0832254441412685,0
"55","F","6","3",1,"87",0.615150955020992,0.249843792634833,1
"81","F","2","3",1,"56",0.664393237186625,0.315176251954107,1
"90","F","2","3",1,"118",0.544155910321083,0.082838380269532,0
"133","F","7","3",1,"10",0.505661651463624,0.34941534983922,2
"142","F","1","3",1,"57",0.668190319551992,0.413441195267516,2
"173","F","1","3",1,"93",0.484777391386912,0.167737759763781,2
"223","F","4","3",1,"55",0.38907644523812,0.195045120943708,1
"249","F","2","3",1,"30",0.384126634077591,0.189149937204281,2
"243","F","5","3",0,"105",0.701629941395286,0.243734074266717,0
"106","F","3","3",0,"109",0.454740684275953,0.110786217542094,0
"241","F","3","3",0,"104",0.529860260197101,0.23584142516437,0
"34","F","6","3",0,"54",0.792455022598131,0.337681547454044,0
"99","M","5","3",1,"62",0.670936407755615,0.249536754503679,2
"185","M","3","3",1,"97",0.725446885601707,0.342875662988708,2
"65","M","11","3",1,"90",0.495521639129709,0.0832254441412685,0
"174","M","2","3",1,"72",0.656840080814532,0.253248494087765,2
"211","M","2","3",1,"11",0.65813896704296,0.252231795750692,1
"125","M","4","3",1,"55",0.38907644523812,0.195045120943708,1
"130","M","11","3",1,"30",0.384126634077591,0.189149937204281,2
"139","M","3","3",1,"50",0.390007619716977,0.276974168734399,1
"238","M","2","3",1,"118",0.544155910321083,0.082838380269532,0
"18","M","3","3",1,"93",0.484777391386912,0.167737759763781,2
"69","M","3","3",1,"40",0.621321787086495,0.192903619776189,0
"94","M","3","3",1,"73",0.601174383735897,0.354291527846166,1
"119","M","5","3",1,"84",0.597835392620782,0.249424190166143,0
"49","M","3","3",0,"46",0.710341427466891,0.318492236906539,0
"194","M","1","3",0,"4",0.437993485536719,0.0720764902107085,0
"193","F","4","4",1,"84",0.597835392620782,0.140301106968455,1
"15","F","6","4",1,"40",0.621321787086495,0.144677714832142,1
"34","F","6","4",1,"54",0.792455022598131,0.253261160590533,3
"67","F","8","4",1,"104",0.529860260197101,0.47168285032874,3
"249","F","2","4",1,"99",0.500265409100119,0.450256870156308,0
"30","F","4","4",1,"110",0.61078910184458,0.235912146201025,2
"22","F","5","4",1,"41",0.82261722551472,0.492040307539294,3
"200","F","5","4",1,"53",0.463644154483643,0.296518949856389,0
"8","F","4","4",1,"69",0.585637266466024,0.404852226657009,2
"197","F","3","4",1,"64",0.768206743536825,0.285343117343233,1
"55","F","6","4",1,"36",0.365294898741732,0.123140044845577,1
"81","F","2","4",1,"106",0.498867419774825,0.359125011159582,3
"90","F","2","4",1,"86",0.446988939506333,0.375801442676509,2
"133","F","7","4",1,"85",0.70061624649906,0.417872953309043,3
"223","F","4","4",1,"71",0.217376674091328,0.361206818815792,1
"241","F","3","4",1,"8",0.637084465004879,0.405840594043777,2
"26","F","4","4",1,"22",0.67896508347357,0.251891162731935,0
"129","F","6","4",1,"114",0.730601350443999,0.360694284423593,4
"156","F","3","4",1,"95",0.608736825058213,0.390745509516784,1
"195","F","2","4",1,"51",0.332223689367766,0.338986081103228,1
"243","F","5","4",0,"105",0.701629941395286,0.182800555700038,0
"111","F","4","4",0,"108",0.639074480041041,0.368632054201087,0
"172","F","1","4",0,"48",0.433951753503695,0.518208902345496,0
"69","M","3","4",1,"40",0.621321787086495,0.144677714832142,1
"185","M","3","4",1,"64",0.768206743536825,0.285343117343233,1
"125","M","4","4",1,"8",0.637084465004879,0.405840594043777,2
"18","M","3","4",1,"95",0.608736825058213,0.390745509516784,1
"250","M","6","4",1,"51",0.332223689367766,0.338986081103228,1
"109","M","4","4",1,"41",0.82261722551472,0.492040307539294,3
"146","M","3","4",1,"36",0.365294898741732,0.123140044845577,1
"23","M","1","4",1,"54",0.792455022598131,0.506522321181066,3
"57","M","1","4",1,"114",0.730601350443999,0.360694284423593,4
"108","M","1","4",1,"85",0.70061624649906,0.417872953309043,3
"167","M","1","4",1,"110",0.61078910184458,0.235912146201025,2
"76","M","2","4",0,"73",0.601174383735897,0.531437291769248,0
"122","M","1","4",0,"119",0.735635574398014,0.518735648962724,0
"180","M","4","4",0,"24",0.509057592985186,0.486707917594611,0
"186","M","1","4",0,"94",0.725171920361436,0.523757928520198,0
"226","M","11","4",0,"12",0.472734450033311,0.46319908658601,0
"243","F","5","5",1,"105",0.701629941395286,0.182800555700038,4
"111","F","4","5",1,"108",0.639074480041041,0.368632054201087,3
"15","F","6","5",1,"21",0.702722753047975,0.169068654717682,0
"195","F","2","5",1,"65",0.377106068384621,0.296523411181385,1
"193","F","4","5",1,"54",0.792455022598131,0.675363094908088,3
"34","F","6","5",1,"98",0.332633096768263,0.22581866219209,0
"67","F","8","5",1,"69",0.585637266466024,0.539802968876012,2
"22","F","5","5",1,"9",0.43386353859283,0.538992585472525,4
"8","F","4","5",1,"73",0.601174383735897,0.708583055692331,3
"223","F","4","5",1,"62",0.670936407755615,0.665431345343144,2
"26","F","4","5",1,"41",0.82261722551472,0.656053743385726,3
"129","F","6","5",1,"24",0.509057592985186,0.648943890126148,2
"61","F","4","5",1,"12",0.472734450033311,0.61759878211468,2
"53","F","5","5",1,"58",0.575527961697424,0.508206930184834,3
"93","F","4","5",1,"61",0.594165468318216,0.414791333205403,1
"232","F","1","5",1,"77",0.520619403434899,0.347374190285872,0
"233","F","4","5",1,"86",0.446988939506333,0.501068590235345,3
"200","F","5","5",0,"26",0.542587081337705,0.715437341433591,0
"55","F","6","5",0,"6",0.674829914844913,0.531225119496353,0
"133","F","7","5",0,"28",0.389437619578429,0.386627044349186,0
"76","M","2","5",1,"73",0.601174383735897,0.531437291769248,3
"69","M","3","5",1,"21",0.702722753047975,0.169068654717682,0
"18","M","3","5",1,"106",0.498867419774825,0.478833348212776,2
"154","M","3","5",1,"9",0.43386353859283,0.538992585472525,4
"9","M","7","5",1,"69",0.585637266466024,0.539802968876012,2
"85","M","6","5",1,"54",0.792455022598131,0.675363094908088,3
"29","M","2","5",1,"86",0.446988939506333,0.501068590235345,3
"43","M","6","5",1,"41",0.82261722551472,0.656053743385726,3
"115","M","4","5",1,"98",0.332633096768263,0.22581866219209,0
"121","M","4","5",1,"77",0.520619403434899,0.347374190285872,0
"132","M","1","5",1,"105",0.701629941395286,0.649957531377913,4
"220","M","6","5",0,"118",0.544155910321083,0.165676760539064,0
"242","M","3","5",0,"33",0.623915702188894,0.53380086657519,0
"34","F","6","6",1,"98",0.332633096768263,0.169363996644068,1
"67","F","8","6",1,"117",0.50258108215869,0.416882512145174,0
"26","F","4","6",1,"96",0.59607367748453,0.27565143135702,1
"233","F","4","6",1,"87",0.615150955020992,0.37476568895225,2
"111","F","4","6",1,"86",0.446988939506333,0.375801442676509,2
"15","F","6","6",1,"1",0.337182945184882,0.524254322732428,2
"223","F","4","6",1,"120",0.8166975525386,0.503441526612893,3
"129","F","6","6",1,"9",0.43386353859283,0.404244439104394,1
"61","F","4","6",1,"25",0.525427385889129,0.272747758848238,2
"53","F","5","6",1,"2",0.4580863071619,0.279493667677904,0
"156","F","3","6",1,"61",0.594165468318216,0.311093499904052,2
"41","F","4","6",1,"110",0.61078910184458,0.235912146201026,0
"62","F","7","6",1,"72",0.656840080814532,0.379872741131647,0
"97","F","2","6",1,"118",0.544155910321083,0.124257570404298,0
"105","F","1","6",1,"33",0.623915702188894,0.400350649931393,2
"160","F","4","6",1,"95",0.608736825058213,0.390745509516784,2
"215","F","3","6",1,"81",0.326558865558011,0.441710316041722,2
"216","F","3","6",1,"106",0.498867419774825,0.359125011159582,1
"234","F","1","6",1,"115",0.306906388253705,0.200988350759631,0
"237","F","1","6",1,"23",0.348124646438651,0.368114593327799,2
"55","F","6","6",0,"6",0.674829914844913,0.398418839622265,0
"133","F","7","6",0,"28",0.389437619578429,0.28997028326189,0
"93","F","4","6",0,"74",0.403746070924399,0.407048204720956,0
"60","F","1","6",0,"58",0.575527961697424,0.381155197638626,0
"220","M","6","6",1,"118",0.544155910321083,0.124257570404298,0
"29","M","2","6",1,"87",0.615150955020992,0.37476568895225,2
"43","M","6","6",1,"96",0.59607367748453,0.27565143135702,1
"85","M","6","6",1,"2",0.4580863071619,0.279493667677904,0
