"birdID","Sex","Lifespan","Yr","Mated","Terrs","Poccup","Pfledge","Fledge"
"27","M","1","1",1,"113",0.6734840717159,0.460938246450668,2
"38","M","1","1",1,"114",0.67789784144173,0.487516061238871,1
"46","M","8","1",1,"90",0.710347250580698,0.724175085490357,4
"58","M","1","1",1,"22",0.444186464995443,0.609999916956235,2
"63","M","3","1",1,"32",0.496565579542121,0.397902495725432,1
"77","M","3","1",1,"33",0.535012420295969,0.671829128449776,3
"98","M","8","1",1,"18",0.689125044268102,0.69917305114324,4
"161","M","3","1",1,"55",0.624021336426705,0.656319359649343,1
"182","F","1","1",1,"55",0.624021336426705,0.656319359649343,1
"13","F","1","1",1,"18",0.689125044268102,0.69917305114324,4
"172","F","3","1",1,"114",0.67789784144173,0.487516061238871,1
"173","F","5","1",1,"113",0.6734840717159,0.460938246450668,2
"71","F","5","1",1,"33",0.535012420295969,0.671829128449776,3
"81","F","1","1",1,"22",0.444186464995443,0.609999916956235,2
"84","F","3","1",1,"90",0.710347250580698,0.724175085490357,4
"78","F","1","1",1,"32",0.496565579542121,0.397902495725432,1
"11","M","2","1",0,"74",0.752866400396929,0.683085182486805,0
"35","M","2","1",0,"61",0.348669182294289,0.579545948691771,0
"65","M","6","1",0,"38",0.434114783172375,0.194129041082985,0
"210","F","2","1",0,"26",0.800495212356046,0.431681470696521,0
"222","F","1","1",0,"51",0.430939272247563,0.435273050888491,0
"235","F","3","1",0,"117",0.675182260425861,0.313019161558081,0
"105","F","3","1",0,"59",0.672929545327237,0.421543815858657,0
"125","F","1","1",0,"67",0.604028741526673,0.397218293727772,0
"240","F","1","1",0,"37",0.503161548835975,0.672378871970823,0
"71","F","5","2",1,"52",0.545869560746874,0.42044217840247,2
"84","F","3","2",1,"33",0.535012420295969,0.503871846337332,3
"172","F","3","2",1,"42",0.565954574597023,0.530971711345208,2
"173","F","5","2",1,"74",0.752866400396929,0.512313886865104,2
"14","F","1","2",1,"38",0.434114783172375,0.145596780812239,0
"34","F","1","2",1,"71",0.429446263224009,0.129899079155986,2
"36","F","1","2",1,"47",0.287072829906125,0.268401849692673,0
"39","F","1","2",1,"19",0.531509258306457,0.449168906691959,2
"45","F","7","2",1,"103",0.552946926348221,0.3051955290619,0
"142","F","1","2",1,"96",0.460940627637726,0.309384609576305,3
"151","F","1","2",1,"51",0.430939272247563,0.326454788166368,1
"202","F","2","2",1,"6",0.498304806752731,0.592800304343004,3
"231","F","2","2",1,"84",0.507976182941984,0.32456150057645,1
"210","F","2","2",0,"26",0.800495212356046,0.323761103022391,0
"235","F","3","2",0,"117",0.675182260425861,0.234764371168561,0
"105","F","3","2",0,"59",0.672929545327237,0.316157861893993,0
"139","F","4","2",0,"65",0.709135748008464,0.498834794951243,0
"65","M","6","2",1,"38",0.434114783172375,0.145596780812239,0
"46","M","8","2",1,"33",0.535012420295969,0.503871846337332,3
"77","M","3","2",1,"52",0.545869560746874,0.42044217840247,2
"98","M","8","2",1,"47",0.287072829906125,0.268401849692673,0
"161","M","3","2",1,"6",0.498304806752731,0.592800304343004,3
"35","M","2","2",1,"42",0.565954574597023,0.530971711345208,2
"62","M","2","2",1,"19",0.531509258306457,0.449168906691959,2
"74","M","2","2",1,"96",0.460940627637726,0.309384609576305,3
"12","M","3","2",0,"41",0.875290384928542,0.431467239463102,0
"140","M","6","2",0,"50",0.658932035858285,0.314665601153789,0
