"birdID","Sex","Lifespan","Yr","Mated","Terrs","Poccup","Pfledge","Fledge"
"11","M","2","1",1,"192",0.303279897253962,0.147671313993166,0
"24","M","7","1",1,"21",0.491264729591729,0.00675867886689771,0
"55","M","3","1",1,"11",0.823324507212007,0.771689371816274,3
"58","M","1","1",1,"96",0.952379321912304,0.00767258577980101,0
"87","M","1","1",1,"109",0.222179721109569,0.654324195114896,2
"100","M","1","1",1,"293",0.246560669276549,0.284545127595636,1
"130","M","2","1",1,"85",0.88918072400608,0.701978235222991,3
"151","M","3","1",1,"200",0.867137600900605,0.782887927023694,4
"173","M","3","1",1,"65",0.402727469377187,0.0349591617893013,0
"203","M","2","1",1,"287",0.215884141774174,0.0176629212866622,0
"241","M","1","1",1,"82",0.562335446160632,0.131567171625449,1
"244","M","3","1",1,"132",0.521545968949795,0.332092500058934,2
"249","M","4","1",1,"63",0.432887081522495,0.156495962524787,0
"267","M","2","1",1,"51",0.399811361313729,0.161080320535553,1
"280","M","1","1",1,"265",0.740363377146423,0.0841628462076187,1
"334","M","2","1",1,"107",0.615140604132345,0.178499817457568,1
"338","M","7","1",1,"212",0.735230582377584,0.746386907252835,3
"370","M","1","1",1,"252",0.168707719122277,0.543922555832481,1
"444","M","2","1",1,"230",0.635534390735179,0.660879360393879,3
"486","M","4","1",1,"43",0.505020474058599,0.154401955111674,0
"500","M","1","1",1,"55",0.428893513518564,0.0101464600613428,0
"39","F","2","1",1,"43",0.505020474058599,0.154401955111674,0
"1","F","1","1",1,"293",0.246560669276549,0.284545127595636,1
"153","F","2","1",1,"51",0.399811361313729,0.161080320535553,1
"263","F","8","1",1,"96",0.952379321912304,0.00767258577980101,0
"98","F","2","1",1,"55",0.428893513518564,0.0101464600613428,0
"254","F","1","1",1,"132",0.521545968949795,0.332092500058934,2
"488","F","2","1",1,"82",0.562335446160632,0.131567171625449,1
"425","F","3","1",1,"265",0.740363377146423,0.0841628462076187,1
"281","F","5","1",1,"212",0.735230582377584,0.746386907252835,3
"71","F","5","1",1,"85",0.88918072400608,0.701978235222991,3
"279","F","1","1",1,"200",0.867137600900605,0.782887927023694,4
"38","F","1","1",1,"230",0.635534390735179,0.660879360393879,3
"430","F","13","1",1,"107",0.615140604132345,0.178499817457568,1
"377","F","4","1",1,"109",0.222179721109569,0.654324195114896,2
"314","F","1","1",1,"21",0.491264729591729,0.00675867886689771,0
"345","F","2","1",1,"63",0.432887081522495,0.156495962524787,0
"448","F","2","1",1,"11",0.823324507212007,0.771689371816274,3
"487","F","2","1",1,"252",0.168707719122277,0.543922555832481,1
"291","F","4","1",1,"192",0.303279897253962,0.147671313993166,0
"104","F","1","1",1,"65",0.402727469377187,0.0349591617893013,0
"118","F","6","1",1,"287",0.215884141774174,0.0176629212866622,0
"72","M","1","1",0,"180",0.193163320109572,0.865740575715688,0
"343","F","1","1",0,"81",0.894440212519839,0.83989538741298,0
"146","F","2","1",0,"285",0.302629272905404,0.38577852523673,0
"233","F","2","1",0,"181",0.717569435713813,0.32135682576336,0
"269","F","2","1",0,"73",0.700459221884876,0.399995392156142,0
"313","F","5","1",0,"71",0.901155789003306,0.781938717123546,0
"355","F","2","1",0,"112",0.83225601713214,0.634935983592378,0
"387","F","5","1",0,"168",0.749814327973804,0.420156650889141,0
"39","F","2","2",1,"167",0.374925676823491,0.67497044967166,4
"153","F","2","2",1,"211",0.606464569564712,0.717120685053688,4
"345","F","2","2",1,"20",0.996942178969101,0.033330432367626,0
"448","F","2","2",1,"71",0.421992569230497,0.586454037842659,1
"291","F","4","2",1,"131",0.696286602296704,0.228242138167844,0
"118","F","6","2",1,"237",0.901155789003306,0.299152202211969,0
"263","F","8","2",1,"265",0.740363377146423,0.063122134655714,0
"98","F","2","2",1,"11",0.823324507212007,0.578767028862205,2
"488","F","2","2",1,"56",0.590017102991769,0.157090455269987,2
"425","F","3","2",1,"169",0.931788381929703,0.576570053907499,2
"71","F","5","2",1,"273",0.961345781098455,0.609881196969856,4
"430","F","13","2",1,"54",0.313124829944864,0.0611027620624493,2
"377","F","4","2",1,"112",0.83225601713214,0.476201987694284,1
"487","F","2","2",1,"149",0.284917421159546,0.525240642045789,2
"146","F","2","2",1,"81",0.894440212519839,0.629921540559735,2
"233","F","2","2",1,"77",0.207687970549585,0.144276484398283,2
"269","F","2","2",1,"170",0.864348623203114,0.73633539659204,3
"313","F","5","2",1,"250",0.244088049481458,0.136006780300522,0
"355","F","2","2",1,"92",0.809946189634502,0.345160566153936,0
"387","F","5","2",1,"76",0.597367268055677,0.447685897699557,2
"26","F","1","2",1,"206",0.865036007249728,0.0121445651748218,0
"61","F","1","2",1,"32",0.459770076675341,0.116848083911464,0
"82","F","1","2",1,"29",0.241442021448165,0.645287401915994,3
"142","F","19","2",1,"181",0.717569435713813,0.24101761932252,0
"145","F","2","2",1,"96",0.952379321912304,0.00575443933485076,0
"235","F","3","2",1,"33",0.339323398774153,0.122652501858771,0
"297","F","2","2",1,"57",0.316729831970066,0.101987336503933,2
"300","F","3","2",1,"128",0.922301391605288,0.101204467588104,0
"302","F","2","2",1,"162",0.428011522767408,0.00990865636247445,0
"303","F","2","2",1,"231",0.593252878911242,0.0838586141260702,0
"309","F","2","2",1,"202",0.43286388741708,0.266116034418491,1
"332","F","1","2",1,"10",0.498994972091168,0.318702542921528,1
"342","F","1","2",1,"27",0.715873945587831,0.0110224993742679,0
"388","F","2","2",1,"69",0.303072805097063,0.361987229753802,1
"389","F","2","2",1,"75",0.161316385951003,0.167070435961934,0
"403","F","1","2",1,"130",0.209568997970958,0.0345941218204703,0
"421","F","1","2",1,"88",0.197100231653846,0.230663766261199,1
"475","F","1","2",1,"172",0.302508517552068,0.116896084239095,1
"494","F","3","2",1,"60",0.40723058860749,0.401350594300311,3
"11","M","2","2",1,"237",0.696286602296704,0.299152202211969,0
"55","M","3","2",1,"131",0.421992569230497,0.228242138167844,0
"267","M","2","2",1,"167",0.606464569564712,0.67497044967166,4
"24","M","7","2",1,"81",0.894440212519839,0.629921540559735,2
"151","M","3","2",1,"27",0.715873945587831,0.0110224993742679,0
"173","M","3","2",1,"206",0.865036007249728,0.0121445651748218,0
"244","M","3","2",1,"169",0.931788381929703,0.576570053907499,2
"334","M","2","2",1,"29",0.241442021448165,0.645287401915994,3
"338","M","7","2",1,"33",0.339323398774153,0.122652501858771,0
"75","M","6","2",1,"77",0.207687970549585,0.144276484398283,2
"101","M","3","2",1,"88",0.197100231653846,0.230663766261199,1
"205","M","2","2",1,"202",0.43286388741708,0.266116034418491,1
"208","M","3","2",1,"279",0.668799537693729,0.424844164215816,2
"219","M","2","2",1,"60",0.40723058860749,0.401350594300311,3
"255","M","3","2",1,"92",0.809946189634502,0.345160566153936,0
