"birdID","Sex","Lifespan","Yr","Mated","Terrs","Poccup","Pfledge","Fledge"
"22","M","1","1",1,"39",0.532678932735377,0.637721369795726,3
"89","M","4","1",1,"46",0.645839963503246,0.560277478762815,4
"111","M","13","1",1,"79",0.549888400370292,0.641514698707196,2
"147","M","10","1",1,"55",0.672636754445769,0.420686951538321,4
"165","M","5","1",1,"115",0.627284413249746,0.768467509397841,4
"186","M","1","1",1,"19",0.641870320767046,0.599160518775036,3
"194","M","1","1",1,"110",0.725002062519926,0.503193665798106,1
"209","M","1","1",1,"50",0.568405091263877,0.392606175597151,0
"219","M","5","1",1,"116",0.259636496159561,0.712386937462568,2
"238","M","2","1",1,"119",0.408240126109643,0.143270882771966,1
"137","F","4","1",1,"110",0.725002062519926,0.503193665798106,1
"180","F","6","1",1,"55",0.672636754445769,0.420686951538321,4
"227","F","1","1",1,"79",0.549888400370292,0.641514698707196,2
"37","F","3","1",1,"50",0.568405091263877,0.392606175597151,0
"237","F","2","1",1,"115",0.627284413249746,0.768467509397841,4
"42","F","4","1",1,"119",0.408240126109643,0.143270882771966,1
"155","F","8","1",1,"39",0.532678932735377,0.637721369795726,3
"128","F","3","1",1,"19",0.641870320767046,0.599160518775036,3
"221","F","1","1",1,"46",0.645839963503246,0.560277478762815,4
"159","F","1","1",1,"116",0.259636496159561,0.712386937462568,2
"50","M","3","1",0,"47",0.325195963048012,0.676818803467976,0
"127","M","1","1",0,"71",0.43695920093523,0.537926661913264,0
"248","M","1","1",0,"81",0.587118318707213,0.420400519866705,0
"150","F","2","1",0,"5",0.786368909858042,0.58029764221441,0
"76","F","12","1",0,"35",0.823892076723844,0.669831498014199,0
"42","F","4","2",1,"119",0.408240126109643,0.107453162078975,0
"76","F","12","2",1,"35",0.823892076723844,0.502373623510649,0
"180","F","6","2",1,"42",0.62120684701074,0.363643825375018,2
"237","F","2","2",1,"104",0.404618051330596,0.30183086298956,0
"137","F","4","2",1,"49",0.658894194827805,0.363142887969984,4
"37","F","3","2",1,"57",0.809184194798723,0.302924223122804,3
"155","F","8","2",1,"97",0.59178364806409,0.571596562504106,1
"1","F","2","2",1,"52",0.656097965884439,0.314262003832054,0
"14","F","7","2",1,"12",0.348085316604103,0.355625465266559,2
"44","F","2","2",1,"113",0.356860360329786,0.41411208888001,2
"71","F","2","2",1,"4",0.726525171430128,0.236499995570591,2
"90","F","3","2",1,"29",0.344549953687738,0.351051200438316,2
"106","F","2","2",1,"93",0.427500379100502,0.405100667135016,3
"115","F","1","2",1,"68",0.427181853222156,0.390072853546102,1
"116","F","1","2",1,"47",0.325195963048012,0.507614102600982,2
"150","F","2","2",0,"5",0.786368909858042,0.435223231660808,0
"128","F","3","2",0,"64",0.63333494821814,0.248277016109789,0
"117","F","7","2",0,"120",0.740931707239331,0.443239718000704,0
"164","F","4","2",0,"16",0.544625452146594,0.512569590612953,0
"170","F","2","2",0,"78",0.65430271730031,0.508038988513429,0
"188","F","2","2",0,"14",0.720727743856437,0.111541256627335,0
