"birdID","Sex","Lifespan","Yr","Mated","Terrs","Poccup","Pfledge","Fledge"
"29","M","1","1",1,"26",0.290605703185569,0.293663864262395,0
"63","M","1","1",1,"29",0.459559441618563,0.563473567859333,3
"64","M","8","1",1,"24",0.541048488742167,0.585158161365886,1
"74","M","5","1",1,"16",0.555581336203069,0.701915684340724,3
"117","M","2","1",1,"6",0.814804393835993,0.517309086074184,2
"191","M","1","1",1,"36",0.475026205274111,0.416090040890631,2
"232","M","1","1",1,"33",0.364325823590198,0.419149385903843,1
"234","M","9","1",1,"117",0.736526077419978,0.458305195550501,3
"238","M","4","1",1,"115",0.478477697129857,0.603110889433455,3
"43","F","8","1",1,"115",0.478477697129857,0.603110889433455,3
"170","F","1","1",1,"36",0.475026205274111,0.416090040890631,2
"164","F","5","1",1,"29",0.459559441618563,0.563473567859333,3
"174","F","1","1",1,"6",0.814804393835993,0.517309086074184,2
"152","F","2","1",1,"26",0.290605703185569,0.293663864262395,0
"112","F","3","1",1,"33",0.364325823590198,0.419149385903843,1
"186","F","1","1",1,"24",0.541048488742167,0.585158161365886,1
"45","F","1","1",1,"117",0.736526077419978,0.458305195550501,3
"233","F","4","1",1,"16",0.555581336203069,0.701915684340724,3
"243","F","1","1",0,"1",0.333671527769155,0.346716711196991,0
"18","F","2","1",0,"119",0.427965080916668,0.431831435923101,0
"222","F","7","1",0,"19",0.762973804253302,0.65300467967137,0
"85","F","2","1",0,"105",0.518245551790631,0.470132775335554,0
"188","F","3","1",0,"22",0.503196955539882,0.382924165044554,0
"228","F","11","1",0,"89",0.298112891196419,0.480446699261081,0
"111","F","1","1",0,"21",0.578054423489012,0.60201515105781,0
"43","F","8","2",1,"93",0.734835854628279,0.540113421515604,2
"164","F","5","2",1,"17",0.651077846241939,0.234265137554469,2
"152","F","2","2",1,"56",0.765132063295798,0.412760099658918,2
"112","F","3","2",1,"40",0.235296495388961,0.247949491198574,0
"233","F","4","2",1,"82",0.446644620311584,0.220633911115642,1
"18","F","2","2",1,"34",0.619333837122775,0.394750040839454,4
"188","F","3","2",1,"61",0.773357437430079,0.527409738758351,2
"55","F","1","2",1,"80",0.616667750793075,0.406208732175275,2
"62","F","3","2",1,"44",0.375147928820744,0.325750097843113,1
"75","F","2","2",1,"54",0.386971172566979,0.244183879098845,1
"95","F","1","2",1,"62",0.736564068496409,0.291612640889115,3
"108","F","2","2",1,"120",0.424755016184363,0.213196447400716,1
"113","F","5","2",1,"104",0.733301554827847,0.382908223692166,0
"120","F","1","2",1,"41",0.667363107978031,0.344859370598904,3
"222","F","7","2",0,"19",0.762973804253302,0.489753509753527,0
"228","F","11","2",0,"89",0.298112891196419,0.360335024445811,0
"128","F","8","2",0,"35",0.722946333218552,0.163027183959516,0
"165","F","10","2",0,"66",0.669482652112158,0.339310229547829,0
"183","F","10","2",0,"107",0.568146489783286,0.410946703470495,0
"201","F","2","2",0,"47",0.553617028605196,0.444031664928604,0
"64","M","8","2",1,"61",0.773357437430079,0.527409738758351,2
"74","M","5","2",1,"93",0.734835854628279,0.540113421515604,2
"234","M","9","2",1,"56",0.765132063295798,0.412760099658918,2
"238","M","4","2",1,"62",0.736564068496409,0.291612640889115,3
"3","M","6","2",1,"82",0.446644620311584,0.220633911115642,1
"4","M","2","2",1,"120",0.424755016184363,0.213196447400716,1
"32","M","1","2",1,"80",0.616667750793075,0.406208732175275,2
"159","M","2","2",1,"104",0.733301554827847,0.382908223692166,0
"204","M","1","2",1,"54",0.386971172566979,0.244183879098845,1
"205","M","1","2",1,"40",0.235296495388961,0.247949491198574,0
"215","M","3","2",1,"41",0.667363107978031,0.344859370598904,3
"43","F","8","3",1,"106",0.653034572811888,0.130834094245969,0
"164","F","5","3",1,"31",0.733242369220194,0.181254107395631,2
"112","F","3","3",1,"50",0.770220263632287,0.254708902692449,1
"233","F","4","3",1,"6",0.814804393835993,0.258654543037092,2
"188","F","3","3",1,"59",0.545357476374425,0.213586537232667,1
"62","F","3","3",1,"86",0.466136719850094,0.148089972673664,0
"75","F","2","3",1,"71",0.512658967948757,0.24544630323053,0
"108","F","2","3",1,"108",0.623463947307664,0.162279877098182,1
"113","F","5","3",1,"83",0.576982251415155,0.224909302384888,1
"222","F","7","3",1,"78",0.481170835112043,0.33857329353939,0
"44","F","1","3",1,"84",0.796059633576134,0.126960461878111,1
"48","F","1","3",1,"81",0.287241814323647,0.244325639778358,0
"123","F","3","3",1,"18",0.522212515650758,0.247025536017314,1
"162","F","1","3",1,"88",0.501533106804069,0.242538636153094,0
"172","F","2","3",1,"92",0.69667523966731,0.15632985031869,1
