"birdID","Sex","Lifespan","Yr","Mated","Terrs","Poccup","Pfledge","Fledge"
"31","M","1","1",1,"163",0.109638600183451,0.27024657534413,0
"112","M","2","1",1,"77",0.0894927535013193,0.0609318801660999,1
"155","M","1","1",1,"184",0.387129747656027,0.0825576880879574,0
"157","M","1","1",1,"281",0.520669171507537,0.859424218593686,3
"236","M","4","1",1,"137",0.0975197963335637,0.000941471321460432,0
"242","M","2","1",1,"187",0.728826593231758,0.686807882728887,3
"270","M","2","1",1,"84",0.825496834935621,0.511663996847346,1
"271","M","1","1",1,"191",0.660023491204646,0.231981708679809,1
"311","M","4","1",1,"13",0.860116663547518,0.974643791999655,4
"321","M","1","1",1,"120",0.996583523225828,0.910248600594917,3
"340","M","1","1",1,"71",0.803620907710865,0.253024040721357,1
"367","M","5","1",1,"276",0.618448147550225,0.975559948477894,4
"379","M","2","1",1,"149",0.686468396778302,0.229357262803124,2
"383","M","2","1",1,"211",0.91953028720367,0.942064012078071,4
"393","M","2","1",1,"113",0.123227809715629,0.31365208798526,2
"408","M","4","1",1,"261",0.971914039210247,0.672043285571855,2
"415","M","13","1",1,"40",0.962488610995933,0.0628169120755047,0
"441","M","3","1",1,"134",0.204533258558622,0.542486814832197,2
"442","M","4","1",1,"156",0.600440269103274,0.69140051305294,3
"485","M","4","1",1,"112",0.330675728489104,0.357951650798307,2
"493","M","5","1",1,"65",0.79559907875638,0.0095713011555655,0
"82","F","7","1",1,"71",0.803620907710865,0.253024040721357,1
"84","F","5","1",1,"149",0.686468396778302,0.229357262803124,2
"234","F","4","1",1,"156",0.600440269103274,0.69140051305294,3
"113","F","2","1",1,"40",0.962488610995933,0.0628169120755047,0
"351","F","1","1",1,"211",0.91953028720367,0.942064012078071,4
"319","F","1","1",1,"281",0.520669171507537,0.859424218593686,3
"381","F","4","1",1,"84",0.825496834935621,0.511663996847346,1
"203","F","3","1",1,"13",0.860116663547518,0.974643791999655,4
"483","F","2","1",1,"276",0.618448147550225,0.975559948477894,4
"98","F","1","1",1,"187",0.728826593231758,0.686807882728887,3
"114","F","1","1",1,"184",0.387129747656027,0.0825576880879574,0
"500","F","2","1",1,"120",0.996583523225828,0.910248600594917,3
"95","F","1","1",1,"261",0.971914039210247,0.672043285571855,2
"5","F","6","1",1,"163",0.109638600183451,0.27024657534413,0
"27","F","1","1",1,"65",0.79559907875638,0.0095713011555655,0
"78","F","6","1",1,"191",0.660023491204646,0.231981708679809,1
"436","F","3","1",1,"77",0.0894927535013193,0.0609318801660999,1
"17","F","10","1",1,"137",0.0975197963335637,0.000941471321460432,0
"373","F","1","1",1,"113",0.123227809715629,0.31365208798526,2
"416","F","1","1",1,"112",0.330675728489104,0.357951650798307,2
"211","F","2","1",1,"134",0.204533258558622,0.542486814832197,2
"42","M","2","1",0,"216",0.275020171958794,0.0238250946384625,0
"110","M","1","1",0,"101",0.786899480641121,0.623925575315334,0
"178","M","4","1",0,"263",0.990187810733914,0.0811797101050615,0
"413","M","2","1",0,"9",0.436439480399713,0.855493500595912,0
"134","F","2","1",0,"46",0.991827659447834,0.530122978377096,0
