"birdID","Sex","Lifespan","Yr","Mated","Terrs","Poccup","Pfledge","Fledge"
"10","M","6","1",1,"143",0.748193108476698,0.546025805873796,1
"26","M","1","1",1,"167",0.502887558260984,0.00910507035632455,0
"50","M","5","1",1,"300",0.638409904033281,0.0896837175404128,1
"86","M","11","1",1,"87",0.310821377983449,0.0777648497049332,0
"104","M","2","1",1,"28",0.992697493871674,0.817158790072426,2
"115","M","2","1",1,"283",0.230990835931152,0.0907315604854375,0
"117","M","7","1",1,"281",0.516480394871905,0.427851672284305,1
"144","M","2","1",1,"211",0.751069706864655,0.80449854535982,2
"234","M","1","1",1,"81",0.417415701837067,0.184721243383713,1
"284","M","3","1",1,"219",0.859438296894449,0.153231456886639,0
"286","M","1","1",1,"287",0.70130922505632,0.248193753883243,1
"291","M","4","1",1,"70",0.126453385985184,0.109011817060911,1
"347","M","4","1",1,"14",0.183275907666645,0.00738239724383442,0
"359","M","1","1",1,"2",0.211086579686388,0.245734705837684,2
"373","M","6","1",1,"293",0.662673979007845,0.339496912176276,3
"374","M","5","1",1,"195",0.902296449523419,0.252852263860404,1
"395","M","1","1",1,"294",0.569399428242754,0.825449487714266,4
"430","M","1","1",1,"203",0.54195377089195,0.00349304029779516,0
"446","M","11","1",1,"48",0.165251806714837,0.823921570455834,3
"459","M","2","1",1,"140",0.620905159506947,0.326164824189618,1
"460","M","3","1",1,"223",0.665784215322451,0.864254337671375,4
"472","M","5","1",1,"206",0.596363263361979,0.436807665726346,2
"267","F","2","1",1,"219",0.859438296894449,0.153231456886639,0
"312","F","1","1",1,"300",0.638409904033281,0.0896837175404128,1
"289","F","3","1",1,"28",0.992697493871674,0.817158790072426,2
"442","F","1","1",1,"294",0.569399428242754,0.825449487714266,4
"52","F","10","1",1,"293",0.662673979007845,0.339496912176276,3
"328","F","2","1",1,"206",0.596363263361979,0.436807665726346,2
"481","F","1","1",1,"287",0.70130922505632,0.248193753883243,1
"67","F","2","1",1,"203",0.54195377089195,0.00349304029779516,0
"189","F","4","1",1,"143",0.748193108476698,0.546025805873796,1
"379","F","1","1",1,"223",0.665784215322451,0.864254337671375,4
"400","F","1","1",1,"281",0.516480394871905,0.427851672284305,1
"120","F","3","1",1,"167",0.502887558260984,0.00910507035632455,0
"39","F","12","1",1,"283",0.230990835931152,0.0907315604854375,0
"313","F","6","1",1,"140",0.620905159506947,0.326164824189618,1
"227","F","1","1",1,"81",0.417415701837067,0.184721243383713,1
"203","F","3","1",1,"211",0.751069706864655,0.80449854535982,2
"473","F","6","1",1,"195",0.902296449523419,0.252852263860404,1
"255","F","1","1",1,"48",0.165251806714837,0.823921570455834,3
"212","F","2","1",1,"87",0.310821377983449,0.0777648497049332,0
"414","F","3","1",1,"2",0.211086579686388,0.245734705837684,2
"185","F","3","1",1,"14",0.183275907666645,0.00738239724383442,0
"192","F","3","1",1,"70",0.126453385985184,0.109011817060911,1
"440","M","2","1",0,"264",0.473181440061885,0.0334607772291718,0
"453","M","1","1",0,"78",0.374977734638378,0.164119692286476,0
"479","M","2","1",0,"21",0.0735155408540638,0.279077993706431,0
"493","M","4","1",0,"220",0.335970244134498,0.25000158627853,0
"16","F","1","1",0,"132",0.86095411865972,0.311840592185035,0
"214","F","3","1",0,"239",0.201843048541205,0.386894716192392,0
"267","F","2","2",1,"233",0.244467576300597,0.0764329382232435,0
"289","F","3","2",1,"24",0.629191212815967,0.589919258483874,2
"52","F","10","2",1,"28",0.992697493871674,0.612869092554319,2
"328","F","2","2",1,"293",0.662673979007845,0.254622684132207,1
"67","F","2","2",1,"46",0.929172625982729,0.623880523133711,3
"120","F","3","2",1,"41",0.606308568127929,0.575548433683026,3
"39","F","12","2",1,"59",0.57991885437495,0.365899037884778,1
"313","F","6","2",1,"246",0.538849386432675,0.367773700769273,1
"203","F","3","2",1,"216",0.260761516066871,0.257068411241064,0
"473","F","6","2",1,"271",0.815176050178707,0.120236003946047,0
"212","F","2","2",1,"15",0.725383347475528,0.248373119593231,2
"414","F","3","2",1,"213",0.901984749594703,0.543298918521032,3
"185","F","3","2",1,"31",0.400836117902059,0.621338748432816,2
"192","F","3","2",1,"188",0.506396400036124,0.634953871516117,2
"22","F","4","2",1,"73",0.503562917700037,0.0945937681244685,0
"23","F","2","2",1,"74",0.483286623144522,0.154245203069877,0
"51","F","1","2",1,"121",0.168429549408263,0.441779024508331,1
"105","F","3","2",1,"178",0.431815732343502,0.314902382203031,2
"131","F","1","2",1,"2",0.211086579686388,0.184301029378263,1
"164","F","3","2",1,"283",0.230990835931152,0.0680486703640781,0
"183","F","1","2",1,"225",0.655744659714401,0.546832725929562,2
"191","F","2","2",1,"43",0.371381721884477,0.122637351620813,0
"239","F","3","2",1,"94",0.779414744241331,0.112891843406508,0
"240","F","1","2",1,"69",0.0748451144401508,0.207219213539039,0
"248","F","3","2",1,"68",0.586897147464383,0.385988523568522,2
"279","F","5","2",1,"218",0.567495474221337,0.0240455560525456,0
"280","F","2","2",1,"220",0.335970244134498,0.187501189708897,0
"337","F","2","2",1,"112",0.0688782495800877,0.369213428247413,1
"401","F","4","2",1,"215",0.0706779213279978,0.327770291134383,2
"447","F","1","2",1,"297",0.193876481992002,0.561420428605439,1
"486","F","2","2",1,"107",0.164273294942928,0.0713670250625636,0
"498","F","10","2",1,"21",0.0735155408540638,0.209308495279823,1
"499","F","4","2",1,"197",0.0719349611408129,0.0294901806723304,0
"189","F","4","2",0,"156",0.66083467856583,0.2473010105265,0
"98","F","3","2",0,"275",0.330300357046899,0.102572421072951,0
"479","M","2","2",1,"21",0.0735155408540638,0.209308495279823,1
"493","M","4","2",1,"220",0.335970244134498,0.187501189708897,0
"10","M","6","2",1,"24",0.629191212815967,0.589919258483874,2
"50","M","5","2",1,"15",0.725383347475528,0.248373119593231,2
"86","M","11","2",1,"293",0.662673979007845,0.254622684132207,1
"144","M","2","2",1,"73",0.503562917700037,0.0945937681244685,0
"291","M","4","2",1,"59",0.57991885437495,0.365899037884778,1
"347","M","4","2",1,"216",0.260761516066871,0.257068411241064,0
"373","M","6","2",1,"112",0.0688782495800877,0.369213428247413,1
"374","M","5","2",1,"68",0.586897147464383,0.385988523568522,2
"446","M","11","2",1,"28",0.992697493871674,0.612869092554319,2
"472","M","5","2",1,"297",0.193876481992002,0.561420428605439,1
"440","M","2","2",1,"46",0.929172625982729,0.623880523133711,3
"41","M","3","2",1,"178",0.431815732343502,0.314902382203031,2
"68","M","2","2",1,"218",0.567495474221337,0.0240455560525456,0
"102","M","5","2",1,"2",0.211086579686388,0.184301029378263,1
"103","M","2","2",1,"225",0.655744659714401,0.546832725929562,2
"106","M","3","2",1,"197",0.0719349611408129,0.0294901806723304,0
"190","M","3","2",1,"233",0.244467576300597,0.0764329382232435,0
"195","M","3","2",1,"215",0.0706779213279978,0.327770291134383,2
"205","M","2","2",1,"283",0.230990835931152,0.0680486703640781,0
"261","M","3","2",1,"126",0.703642165188389,0.123423849523861,1
"273","M","8","2",1,"271",0.815176050178707,0.120236003946047,0
"384","M","2","2",1,"74",0.483286623144522,0.154245203069877,0
"32","M","2","2",0,"102",0.456728047884061,0.202729991201272,0
"411","M","5","2",0,"267",0.442844558507204,0.431193519907538,0
"424","M","1","2",0,"158",0.980745448730886,0.305600894847885,0
