"birdID","Sex","Lifespan","Yr","Mated","Terrs","Poccup","Pfledge","Fledge"
"25","M","1","1",1,"4",0.668628584652199,0.620303374772414,1
"33","M","2","1",1,"11",0.512690508498811,0.602674920816515,2
"59","M","2","1",1,"6",0.683935102685252,0.481734840386829,2
"90","M","2","1",1,"15",0.809520884987122,0.692581711493414,2
"111","M","1","1",1,"76",0.41116749454924,0.495910875708234,0
"136","M","1","1",1,"94",0.18581872861011,0.454487123318279,2
"143","M","1","1",1,"58",0.522568044683851,0.561130553101409,0
"51","F","2","1",1,"76",0.41116749454924,0.495910875708234,0
"61","F","2","1",1,"6",0.683935102685252,0.481734840386829,2
"144","F","4","1",1,"94",0.18581872861011,0.454487123318279,2
"44","F","2","1",1,"11",0.512690508498811,0.602674920816515,2
"64","F","1","1",1,"4",0.668628584652199,0.620303374772414,1
"128","F","3","1",1,"15",0.809520884987122,0.692581711493414,2
"229","F","1","1",1,"58",0.522568044683851,0.561130553101409,0
"32","M","5","1",0,"115",0.410439863329887,0.381105333177272,0
"150","M","1","1",0,"8",0.666131015979198,0.708294579501388,0
"162","M","1","1",0,"85",0.418961288830627,0.539813667313755,0
"170","M","9","1",0,"31",0.534884474744214,0.48883012187481,0
"178","M","1","1",0,"32",0.541974313559049,0.482504719253366,0
"188","M","1","1",0,"51",0.639117264236694,0.301866176208759,0
"203","M","1","1",0,"17",0.448196406182465,0.623542423097507,0
"205","M","2","1",0,"33",0.692941939664505,0.138057005099898,0
"235","M","1","1",0,"119",0.318573120284061,0.628615120106721,0
"244","M","2","1",0,"111",0.558072834392472,0.712507538474444,0
"184","F","6","1",0,"55",0.520610765515624,0.50333654686992,0
"61","F","2","2",1,"6",0.683935102685252,0.361301130290122,1
"44","F","2","2",1,"11",0.512690508498811,0.452006190612386,0
"128","F","3","2",1,"12",0.218928240689962,0.345749483701841,1
"144","F","4","2",1,"95",0.676225380308895,0.498891860315866,3
"6","F","2","2",1,"31",0.534884474744214,0.366622591406108,2
"52","F","2","2",1,"20",0.56127705642802,0.385021406875553,1
"81","F","1","2",1,"48",0.412274882449243,0.408271663758099,2
"110","F","8","2",1,"111",0.558072834392472,0.534380653855833,2
"157","F","1","2",1,"8",0.666131015979198,0.531220934626041,2
"166","F","6","2",1,"17",0.448196406182465,0.46765681732313,3
"194","F","7","2",1,"60",0.404628940322927,0.450523103540959,1
"213","F","2","2",1,"83",0.522677946979087,0.482945176031309,2
"184","F","6","2",0,"55",0.520610765515624,0.37750241015244,0
"51","F","2","2",0,"82",0.726526550289744,0.519022060084655,0
"59","M","2","2",1,"6",0.683935102685252,0.361301130290122,1
"170","M","9","2",1,"31",0.534884474744214,0.366622591406108,2
"244","M","2","2",1,"111",0.558072834392472,0.534380653855833,2
"90","M","2","2",1,"12",0.218928240689962,0.345749483701841,1
"49","M","2","2",1,"8",0.666131015979198,0.531220934626041,2
