"birdID","Sex","Lifespan","Yr","Mated","Terrs","Poccup","Pfledge","Fledge"
"14","M","6","1",1,"72",0.523118416433967,0.759722889092271,3
"22","M","2","1",1,"17",0.752251228745392,0.414679419865698,3
"26","M","2","1",1,"83",0.542334703779396,0.581531267116678,1
"31","M","2","1",1,"12",0.672294804007111,0.1600854941106,1
"66","M","6","1",1,"95",0.397858551008954,0.75928253721624,4
"73","M","1","1",1,"114",0.476786564936949,0.624857348673515,3
"118","M","1","1",1,"3",0.497871555456859,0.244440472780618,1
"124","M","3","1",1,"47",0.703293844507732,0.805312951190431,4
"155","M","6","1",1,"27",0.374120209336209,0.362425130071106,4
"180","M","1","1",1,"112",0.626258408983981,0.530669104777925,3
"187","M","1","1",1,"106",0.717976699415022,0.708210301709263,4
"190","M","1","1",1,"79",0.415798335748039,0.672681598359288,2
"51","F","1","1",1,"12",0.672294804007111,0.1600854941106,1
"242","F","2","1",1,"17",0.752251228745392,0.414679419865698,3
"195","F","3","1",1,"47",0.703293844507732,0.805312951190431,4
"107","F","1","1",1,"112",0.626258408983981,0.530669104777925,3
"246","F","2","1",1,"27",0.374120209336209,0.362425130071106,4
"32","F","1","1",1,"83",0.542334703779396,0.581531267116678,1
"134","F","6","1",1,"106",0.717976699415022,0.708210301709263,4
"10","F","5","1",1,"72",0.523118416433967,0.759722889092271,3
"92","F","1","1",1,"79",0.415798335748039,0.672681598359288,2
"245","F","1","1",1,"95",0.397858551008954,0.75928253721624,4
"208","F","8","1",1,"114",0.476786564936949,0.624857348673515,3
"100","F","2","1",1,"3",0.497871555456859,0.244440472780618,1
"229","M","2","1",0,"111",0.772652265760541,0.647124909531773,0
"242","F","2","2",1,"93",0.585784502491995,0.346181728996204,2
"195","F","3","2",1,"114",0.625669970848746,0.468643011505136,1
"246","F","2","2",1,"97",0.498816555498793,0.32792129930749,1
"10","F","5","2",1,"76",0.476786564936949,0.246174998736275,2
"134","F","6","2",1,"108",0.780957473310124,0.386754811306323,1
"208","F","8","2",1,"77",0.584931367524458,0.320503511825491,3
"100","F","2","2",1,"120",0.442070074132812,0.376050667661375,1
"77","F","2","2",1,"100",0.633812250208043,0.611756659479717,1
"90","F","2","2",1,"64",0.761515669073883,0.298978060283946,1
"99","F","2","2",1,"8",0.597435211442956,0.435010426362199,1
"110","F","1","2",1,"54",0.495608904239301,0.342633666202051,1
"119","F","1","2",1,"1",0.691933765663269,0.268177277527568,1
"189","F","2","2",1,"111",0.772652265760541,0.48534368214883,4
"198","F","1","2",1,"53",0.529343715058505,0.34161634580707,0
"206","F","1","2",1,"55",0.583277861169846,0.272213143936528,1
"222","F","1","2",1,"79",0.415798335748039,0.504511198769466,3
"231","F","1","2",0,"15",0.608599451108547,0.209706851260947,0
"14","M","6","2",1,"114",0.476786564936949,0.468643011505136,1
"22","M","2","2",1,"97",0.585784502491995,0.32792129930749,1
"124","M","3","2",1,"76",0.625669970848746,0.246174998736275,2
"155","M","6","2",1,"93",0.498816555498793,0.346181728996204,2
"66","M","6","2",1,"120",0.442070074132812,0.376050667661375,1
"57","M","1","2",1,"54",0.495608904239301,0.342633666202051,1
"63","M","3","2",1,"108",0.780957473310124,0.386754811306323,1
"74","M","4","2",1,"53",0.529343715058505,0.34161634580707,0
"95","M","1","2",1,"8",0.597435211442956,0.435010426362199,1
"103","M","2","2",1,"64",0.761515669073883,0.298978060283946,1
"148","M","3","2",1,"77",0.584931367524458,0.320503511825491,3
"174","M","12","2",0,"116",0.605308320541611,0.301612144765492,0
"226","M","9","2",0,"80",0.538709626359752,0.267632229770863,0
"250","M","3","2",0,"50",0.536940843006787,0.438440074386262,0
"195","F","3","3",1,"77",0.584931367524458,0.213669007883661,0
"10","F","5","3",1,"63",0.665703776069803,0.313280119449328,1
"208","F","8","3",1,"96",0.622180817394514,0.189927334771287,2
"90","F","2","3",1,"60",0.515360994252751,0.331572269468488,0
"77","F","2","3",1,"10",0.656024853395696,0.292754626411977,0
"189","F","2","3",1,"5",0.419998721871641,0.297856170855885,0
"1","F","6","3",1,"34",0.497978018692974,0.282772888262785,2
"46","F","1","3",1,"7",0.467460003334594,0.375230948140427,3
"54","F","8","3",1,"108",0.780957473310124,0.257836540870882,1
"128","F","3","3",1,"118",0.392691054257066,0.218406018453736,1
"132","F","1","3",1,"58",0.566364109874736,0.191790017749299,1
"158","F","14","3",1,"116",0.605308320541611,0.201074763176994,1
"200","F","2","3",1,"8",0.597435211442956,0.290006950908133,0
"205","F","1","3",1,"50",0.536940843006787,0.292293382924175,0
"230","F","8","3",1,"114",0.476786564936949,0.312428674336757,0
"235","F","3","3",1,"30",0.678807031826364,0.27856495499107,1
"99","F","2","3",0,"42",0.516828500467276,0.162714718799382,0
"105","F","1","3",0,"68",0.304961115126249,0.133682768938137,0
"244","F","2","3",0,"76",0.625669970848746,0.164116665824183,0
"14","M","6","3",1,"77",0.584931367524458,0.213669007883661,0
"124","M","3","3",1,"63",0.665703776069803,0.313280119449328,1
"103","M","2","3",1,"60",0.515360994252751,0.331572269468488,0
"148","M","3","3",1,"96",0.622180817394514,0.189927334771287,2
"74","M","4","3",1,"118",0.392691054257066,0.218406018453736,1
"226","M","9","3",1,"5",0.419998721871641,0.297856170855885,0
"250","M","3","3",1,"114",0.476786564936949,0.312428674336757,0
"150","M","2","3",1,"108",0.780957473310124,0.257836540870882,1
"188","M","2","3",1,"50",0.536940843006787,0.292293382924175,0
"12","M","1","3",1,"7",0.467460003334594,0.375230948140427,3
"60","M","2","3",1,"34",0.497978018692974,0.282772888262785,2
"133","M","3","3",1,"8",0.597435211442956,0.290006950908133,0
"151","M","6","3",1,"10",0.656024853395696,0.292754626411977,0
"164","M","2","3",0,"31",0.691759336751051,0.355376701334596,0
"191","M","1","3",0,"66",0.39937925732829,0.319965452291519,0
"204","M","3","3",0,"92",0.315839747055252,0.309996002102092,0
"208","F","8","4",1,"7",0.467460003334594,0.56284642221064,3
"1","F","6","4",1,"102",0.780957473310124,0.446405664186952,1
