"birdID","Sex","Lifespan","Yr","Mated","Terrs","pMate","pFledge","Fledge"
"384","M","4","1",1,42,0.971909373145586,0.438201145792846,1
"71","M","2","1",1,97,0.948768433881924,0.0658580714379361,0
"58","M","1","1",1,144,0.203340382082388,0.307700215383192,1
"271","M","2","1",1,96,0.540910997428,0.20867220905751,0
"20","M","2","1",1,270,0.979942139936611,0.0919363621629347,1
"37","M","4","1",1,187,0.561618410540136,0.359798341349233,1
"380","M","5","1",1,54,0.775692387514395,0.407359287142754,2
"180","M","3","1",1,57,0.282381688710302,0.366824241027985,2
"86","M","1","1",1,229,0.270809838082641,0.0076291010430625,0
"246","M","6","1",1,289,0.667068012699237,0.677683273272123,4
"423","M","5","1",1,178,0.519232428579584,0.29686292266706,1
"347","M","7","1",1,197,0.221967453137093,0.379232192833712,3
"497","M","1","1",1,74,0.342765476554632,0.319499557412032,1
"464","M","3","1",1,4,0.394340300234035,0.183944355188782,2
"244","M","2","1",1,176,0.894419892225415,0.152705570032279,1
"70","M","4","1",1,292,0.782245215819153,0.121692289947532,2
"10","F","1","1",1,270,0,0,1
"39","F","1","1",1,96,0,0,0
"64","F","2","1",1,292,0,0,2
"96","F","3","1",1,229,0,0,0
"102","F","6","1",1,176,0,0,1
"170","F","1","1",1,178,0,0,1
"208","F","8","1",1,197,0,0,3
"257","F","2","1",1,57,0,0,2
"294","F","7","1",1,97,0,0,0
"309","F","1","1",1,42,0,0,1
"316","F","1","1",1,289,0,0,4
"318","F","1","1",1,187,0,0,1
"391","F","1","1",1,4,0,0,2
"428","F","4","1",1,54,0,0,2
"481","F","1","1",1,144,0,0,1
"490","F","1","1",1,74,0,0,1
"411","M","1","1",0,278,0.324368059867993,0.216970843542338,0
"30","M","1","1",0,263,0.134180181892589,0.411196111991156,0
"327","M","1","1",0,271,0.692988325143233,0.169874480985788,0
"27","M","3","1",0,26,0.470016635023057,0.132692324568535,0
"432","M","5","1",0,272,0.850382753261918,0.6051413899404,0
"283","M","2","1",0,89,0.0382348212879151,0.0320965586688832,0
"250","M","1","1",0,183,0.506817569956183,0.277231467836364,0
"247","M","3","1",0,34,0.173161651007831,0.372781084660097,0
"449","M","1","1",0,30,0.485022575361654,0.265145224901641,0
"430","M","1","1",0,216,0.344703389564529,0.0162290484629193,0
"109","F","2","1",0,8,0,0,0
"176","F","3","1",0,158,0,0,0
"215","F","1","1",0,296,0,0,0
"261","F","9","1",0,280,0,0,0
"326","F","6","1",0,17,0,0,0
"398","F","1","1",0,177,0,0,0
"408","F","2","1",0,190,0,0,0
"445","F","1","1",0,157,0,0,0
"102","F","6","2",1,176,0,0,0
"257","F","2","2",1,57,0,0,1
"294","F","7","2",1,97,0,0,0
"428","F","4","2",1,294,0,0,2
"96","F","3","2",1,159,0,0,0
"408","F","2","2",1,177,0,0,2
"45","F","1","2",1,230,0,0,0
"97","F","3","2",1,84,0,0,1
"103","F","2","2",1,13,0,0,0
"114","F","1","2",1,258,0,0,0
"203","F","3","2",1,28,0,0,0
"262","F","1","2",1,7,0,0,0
"268","F","2","2",1,34,0,0,1
"320","F","2","2",1,69,0,0,1
"331","F","2","2",1,221,0,0,0
"381","F","7","2",1,33,0,0,0
