"birdID","Sex","Lifespan","Yr","Mated","Terrs","pMate","pFledge","Fledge"
"298","M","3","1",1,142,0.711673589423299,0.00298250491512694,0
"387","M","3","1",1,291,0.788306481903419,0.131436396826758,0
"381","M","1","1",1,65,0.818928661523387,0.487140544701206,1
"338","M","2","1",1,211,0.726810836000368,0.335961208893001,1
"204","M","4","1",1,52,0.941650182977873,0.581953300279565,3
"466","M","1","1",1,112,0.879618274746463,0.079086168307174,1
"172","M","6","1",1,249,0.79400993296699,0.306872405984905,0
"378","M","5","1",1,102,0.856886357598037,0.0937723339302465,2
"142","M","1","1",1,60,0.898110745009035,0.00252028684751848,0
"109","M","1","1",1,165,0.965228208806366,0.0238786578185327,0
"250","M","1","1",1,55,0.942238602321595,0.0403317360417793,0
"1","F","1","1",1,55,0,0,0
"74","F","3","1",1,211,0,0,1
"80","F","1","1",1,60,0,0,0
"137","F","2","1",1,142,0,0,0
"145","F","1","1",1,102,0,0,2
"177","F","3","1",1,65,0,0,1
"224","F","1","1",1,291,0,0,0
"258","F","10","1",1,249,0,0,0
"369","F","5","1",1,112,0,0,1
"395","F","4","1",1,52,0,0,3
"399","F","2","1",1,165,0,0,0
"479","M","1","1",0,168,0.393098673783243,0.0113822650985048,0
"328","M","6","1",0,297,0.357763539758801,0.687737942207605,0
"122","M","2","1",0,51,0.259306274121627,0.32548537726418,0
"264","M","3","1",0,122,0.0511154078412801,0.4117458862545,0
"130","M","10","1",0,77,0.0263018346929673,0.580739103420072,0
"21","M","1","1",0,42,0.803360567893833,0.249472654054288,0
"230","M","1","1",0,238,0.0703377237077803,0.207934907849873,0
"426","M","2","1",0,158,0.672566917026415,0.203876040380834,0
"138","M","1","1",0,188,0.564178592525423,0.376483069692036,0
"480","M","3","1",0,84,0.153551111929119,0.137375931855387,0
"377","M","1","1",0,189,0.453221704345196,0.30424207736931,0
"42","M","2","1",0,90,0.0330321833025664,0.307483593861449,0
"67","F","2","1",0,29,0,0,0
"85","F","8","1",0,258,0,0,0
"123","F","1","1",0,246,0,0,0
"225","F","2","1",0,300,0,0,0
"237","F","4","1",0,162,0,0,0
"246","F","1","1",0,115,0,0,0
"288","F","2","1",0,146,0,0,0
"304","F","1","1",0,279,0,0,0
"308","F","3","1",0,214,0,0,0
"380","F","2","1",0,245,0,0,0
"419","F","1","1",0,157,0,0,0
"437","F","1","1",0,256,0,0,0
"460","F","2","1",0,82,0,0,0
"470","F","1","1",0,123,0,0,0
"476","F","1","1",0,171,0,0,0
"493","F","2","1",0,156,0,0,0
"137","F","2","2",1,120,0,0,0
"258","F","10","2",1,136,0,0,0
"369","F","5","2",1,297,0,0,4
"399","F","2","2",1,132,0,0,0
"85","F","8","2",1,150,0,0,0
"288","F","2","2",1,285,0,0,3
"6","F","4","2",1,68,0,0,3
"103","F","1","2",1,212,0,0,2
"112","F","3","2",1,89,0,0,1
"151","F","1","2",1,64,0,0,1
"367","F","2","2",1,86,0,0,1
"372","F","7","2",1,244,0,0,1
"418","F","3","2",1,252,0,0,0
"449","F","1","2",1,47,0,0,0
"67","F","2","2",0,29,0,0,0
"225","F","2","2",0,300,0,0,0
"237","F","4","2",0,162,0,0,0
"308","F","3","2",0,214,0,0,0
"493","F","2","2",0,156,0,0,0
"74","F","3","2",0,41,0,0,0
"177","F","3","2",0,211,0,0,0
"395","F","4","2",0,88,0,0,0
"380","F","2","2",0,206,0,0,0
"460","F","2","2",0,53,0,0,0
"3","F","3","2",0,101,0,0,0
"23","F","4","2",0,143,0,0,0
"101","F","1","2",0,87,0,0,0
"158","F","3","2",0,190,0,0,0
"163","F","2","2",0,98,0,0,0
"215","F","6","2",0,218,0,0,0
"294","F","2","2",0,216,0,0,0
"373","F","1","2",0,288,0,0,0
"446","F","4","2",0,234,0,0,0
"498","F","2","2",0,205,0,0,0
"328","M","6","2",1,297,0.357763539758801,0.515803456655703,4
"426","M","2","2",1,158,0.672566917026415,0.152907030285626,2
"298","M","3","2",1,120,0.711673589423299,0.0022368786863452,0
"204","M","4","2",1,212,0.941650182977873,0.436464975209674,2
"34","M","6","2",1,136,0.616273376912355,0.367212495126296,0
"56","M","1","2",1,68,0.926876210840419,0.400558045804449,3
"194","M","1","2",1,89,0.720826467964798,0.121330700359062,1
"232","M","6","2",1,132,0.982229080882987,0.0746110579348169,0
"379","M","1","2",1,64,0.772387020289898,0.261350267579919,1
"388","M","2","2",1,150,0.712553286459297,0.23614565219964,0
"442","M","3","2",1,244,0.636219176696613,0.501956816570654,1
"489","M","2","2",1,252,0.178809736622497,0.0108838804926948,0
"264","M","3","2",0,122,0.0511154078412801,0.308809414690875,0
"480","M","3","2",0,84,0.153551111929119,0.103031948891541,0
"338","M","2","2",0,55,0.726810836000368,0.25197090666975,0
"378","M","5","2",0,289,0.856886357598037,0.0703292504476849,0
"42","M","2","2",0,110,0.0330321833025664,0.230612695396087,0
"8","M","1","2",0,59,0.333378354553133,0.151829062000414,0
"12","M","4","2",0,172,0.794762285932743,0.373615102493204,0
"14","M","1","2",0,115,0.295989672187716,0.151954123702736,0
"105","M","2","2",0,255,0.179237174335867,0.020107061301045,0
"133","M","8","2",0,166,0.0715867680276731,0.576774119663128,0
"150","M","8","2",0,240,0.171378975879931,0.738207831612649,0
"189","M","1","2",0,245,0.0711144756060094,0.595789755133841,0
"359","M","4","2",0,79,0.764671561710182,0.512721270381007,0
"361","M","8","2",0,197,0.185093684341306,0.425730469023916,0
"374","M","2","2",0,9,0.43361204280518,0.282189314195499,0
"237","F","4","3",1,162,0,0,NA
"177","F","3","3",1,211,0,0,NA
"369","F","5","3",1,225,0,0,1
"85","F","8","3",1,33,0,0,2
"367","F","2","3",1,277,0,0,0
"372","F","7","3",1,82,0,0,0
"308","F","3","3",1,191,0,0,1
"333","F","2","3",1,4,0,0,0
"371","F","3","3",1,116,0,0,1
"27","F","4","3",1,60,0,0,1
"60","F","3","3",1,300,0,0,0
"195","F","4","3",1,9,0,0,0
"208","F","1","3",1,79,0,0,1
"210","F","2","3",1,21,0,0,1
"301","F","2","3",1,165,0,0,0
"309","F","2","3",1,128,0,0,1
"316","F","1","3",1,175,0,0,0
"346","F","7","3",1,92,0,0,2
"395","F","4","3",0,88,0,0,0
"3","F","3","3",0,101,0,0,0
"23","F","4","3",0,143,0,0,0
"158","F","3","3",0,190,0,0,0
"163","F","2","3",0,98,0,0,0
"215","F","6","3",0,218,0,0,0
"498","F","2","3",0,205,0,0,0
"258","F","10","3",0,212,0,0,0
"6","F","4","3",0,226,0,0,0
"112","F","3","3",0,173,0,0,0
"74","F","3","3",0,222,0,0,0
"294","F","2","3",0,292,0,0,0
"446","F","4","3",0,179,0,0,0
"77","F","3","3",0,187,0,0,0
"191","F","3","3",0,242,0,0,0
"277","F","3","3",0,46,0,0,0
"282","F","2","3",0,16,0,0,0
"285","F","2","3",0,183,0,0,0
"295","F","3","3",0,275,0,0,0
"296","F","1","3",0,233,0,0,0
"327","F","3","3",0,22,0,0,0
"451","F","1","3",0,136,0,0,0
"359","M","4","3",1,79,0.764671561710182,0.256360635190504,1
"328","M","6","3",1,225,0.357763539758801,0.257901728327852,1
"204","M","4","3",1,60,0.941650182977873,0.218232487604837,1
"232","M","6","3",1,277,0.982229080882987,0.0373055289674085,0
"387","M","3","3",1,90,0.788306481903419,0.0876242645511722,0
"61","M","6","3",1,4,0.151280474365983,0.0414494450669736,0
"110","M","5","3",1,92,0.953313469147225,0.477813081699423,2
"171","M","8","3",1,191,0.460692205983659,0.312000961654094,1
"96","M","2","3",1,82,0.576814481057227,0.0117539227077959,0
"200","M","4","3",1,116,0.998971575420397,0.122382891946472,1
"317","M","1","3",1,175,0.528582320082933,0.21987044041495,0
"364","M","3","3",1,137,0.498067417414859,0.205741820638636,1
"401","M","2","3",1,88,0.74856727803126,0.141704197852789,2
"450","M","2","3",1,300,0.551646517124027,0.0209948067430961,0
"467","M","4","3",1,33,0.937566016272974,0.201506967423484,2
"480","M","3","3",0,84,0.153551111929119,0.0515159744457703,0
"105","M","2","3",0,255,0.179237174335867,0.0100535306505225,0
"150","M","8","3",0,240,0.171378975879931,0.369103915806324,0
"361","M","8","3",0,197,0.185093684341306,0.212865234511958,0
"34","M","6","3",0,235,0.616273376912355,0.183606247563148,0
"388","M","2","3",0,78,0.712553286459297,0.11807282609982,0
"489","M","2","3",0,45,0.178809736622497,0.00544194024634738,0
"378","M","5","3",0,26,0.856886357598037,0.0351646252238424,0
"130","M","10","3",0,87,0.0263018346929673,0.387159402280048,0
"17","M","2","3",0,141,0.0566210295073688,0.259234211522529,0
"48","M","2","3",0,59,0.0902449402492493,0.110313013632139,0
"72","M","2","3",0,133,0.599245835095644,0.0503218271806919,0
"188","M","2","3",0,54,0.765710918232799,0.436043270477045,0
"205","M","2","3",0,32,0.474501210963353,0.0317402453056078,0
"310","M","5","3",0,89,0.7014001167003,0.201970495283604,0
"334","M","8","3",0,6,0.175659077554522,0.250611794720509,0
"394","M","1","3",0,203,0.0611974694766104,0.229120337732248,0
"402","M","4","3",0,264,0.728963109551301,0.172601905534975,0
"423","M","4","3",0,274,0.655009351572762,0.265118029434234,0
"435","M","3","3",0,76,0.0529448499437422,0.289777510255444,0
"478","M","1","3",0,41,0.813092607771978,0.0661159117970568,0
"3","F","3","4",1,101,0,0,NA
"277","F","3","4",1,46,0,0,2
"369","F","5","4",1,36,0,0,0
"85","F","8","4",1,294,0,0,2
"372","F","7","4",1,171,0,0,1
"371","F","3","4",1,271,0,0,0
"27","F","4","4",1,120,0,0,1
"60","F","3","4",1,276,0,0,2
"195","F","4","4",1,103,0,0,0
"210","F","2","4",1,140,0,0,0
"301","F","2","4",1,110,0,0,0
"418","F","3","4",1,202,0,0,0
"135","F","6","4",1,264,0,0,1
"287","F","3","4",1,105,0,0,0
"312","F","1","4",1,280,0,0,1
"322","F","5","4",1,240,0,0,1
"341","F","1","4",1,32,0,0,2
"342","F","1","4",1,166,0,0,1
"386","F","2","4",1,194,0,0,1
"481","F","5","4",1,151,0,0,1
"487","F","5","4",1,235,0,0,0
"158","F","3","4",0,190,0,0,0
"215","F","6","4",0,218,0,0,0
"258","F","10","4",0,212,0,0,0
"112","F","3","4",0,173,0,0,0
"446","F","4","4",0,179,0,0,0
"77","F","3","4",0,187,0,0,0
"191","F","3","4",0,242,0,0,0
"282","F","2","4",0,16,0,0,0
"285","F","2","4",0,183,0,0,0
"295","F","3","4",0,275,0,0,0
"309","F","2","4",0,78,0,0,0
"346","F","7","4",0,3,0,0,0
"23","F","4","4",0,40,0,0,0
"327","F","3","4",0,106,0,0,0
"43","F","2","4",0,61,0,0,0
"154","F","3","4",0,49,0,0,0
"168","F","6","4",0,19,0,0,0
"238","F","4","4",0,265,0,0,0
"365","F","3","4",0,56,0,0,0
"150","M","8","4",1,240,0.171378975879931,0.276827936854743,1
"402","M","4","4",1,264,0.728963109551301,0.129451429151231,1
"328","M","6","4",1,36,0.357763539758801,0.193426296245889,0
"204","M","4","4",1,171,0.941650182977873,0.163674365703628,1
"232","M","6","4",1,103,0.982229080882987,0.0279791467255563,0
"110","M","5","4",1,46,0.953313469147225,0.358359811274568,2
"200","M","4","4",1,271,0.998971575420397,0.0917871689598542,0
"401","M","2","4",1,151,0.74856727803126,0.106278148389592,1
"467","M","4","4",1,117,0.937566016272974,0.151130225567613,0
