"birdID","Sex","Lifespan","Yr","Mated","Terrs","pMate","pFledge","Fledge"
"329","M","4","1",1,263,0.596556905728614,0.0135705179418437,0
"349","M","2","1",1,151,0.976875269319862,0.158302476572571,0
"156","M","3","1",1,159,0.571295288857073,0.285102643928113,0
"286","M","2","1",1,16,0.599715971387923,0.0683946588176758,0
"409","M","4","1",1,74,0.609967375962612,0.444529856380541,2
"437","M","3","1",1,65,0.711929137120023,0.193959324375784,1
"390","M","6","1",1,236,0.652962492702159,0.17604492790997,1
"65","M","4","1",1,92,0.990029418308491,0.416904678277206,1
"143","F","1","1",1,159,0,0,0
"173","F","2","1",1,263,0,0,0
"177","F","1","1",1,16,0,0,0
"209","F","1","1",1,92,0,0,1
"230","F","8","1",1,151,0,0,0
"232","F","1","1",1,74,0,0,2
"394","F","1","1",1,65,0,0,1
"434","F","9","1",1,236,0,0,1
"242","M","2","1",0,54,0.277254741173238,0.0261196846597738,0
"484","M","3","1",0,281,0.325082391500473,0.299972461353914,0
"211","M","2","1",0,254,0.504077540710568,0.00822943312184314,0
"269","M","1","1",0,154,0.313689595321193,0.129921732431347,0
"271","M","3","1",0,144,0.217260652920231,0.0636588742929531,0
"222","M","2","1",0,225,0.823206217959523,0.106392648774336,0
"166","M","3","1",0,94,0.159865380031988,0.00643307941144528,0
"206","M","1","1",0,85,0.0473891440778971,0.243546624468932,0
"348","M","1","1",0,290,0.291205857880414,0.181603854747427,0
"165","M","2","1",0,253,0.0500574153847992,0.139485949929453,0
"77","M","10","1",0,17,0.162680916870586,0.539012673843631,0
"427","M","3","1",0,88,0.555253563215956,0.464283812738266,0
"446","M","1","1",0,3,0.0718368019443005,0.390316744599955,0
"183","M","4","1",0,121,0.817287690580656,0.630605501763057,0
"32","M","2","1",0,231,0.818500337423757,0.208332370054188,0
"140","M","1","1",0,116,0.219983535818756,0.241295245647783,0
"33","M","3","1",0,70,0.397372760577127,0.0539143234249085,0
"208","M","1","1",0,272,0.195294813951477,0.209931369549285,0
"444","M","2","1",0,232,0.191115980269387,0.417704382838933,0
"225","M","5","1",0,186,0.713316766921401,0.211309599573724,0
"258","M","4","1",0,126,0.742448243809854,0.438119336147793,0
"5","F","2","1",0,261,0,0,0
"61","F","2","1",0,64,0,0,0
"96","F","2","1",0,96,0,0,0
"112","F","3","1",0,149,0,0,0
"144","F","1","1",0,58,0,0,0
"243","F","2","1",0,204,0,0,0
"266","F","3","1",0,179,0,0,0
"308","F","2","1",0,60,0,0,0
"330","F","1","1",0,174,0,0,0
"334","F","3","1",0,8,0,0,0
"440","F","4","1",0,275,0,0,0
"455","F","1","1",0,93,0,0,0
"473","F","1","1",0,104,0,0,0
"96","F","2","2",1,96,0,0,NA
"243","F","2","2",1,204,0,0,NA
"47","F","4","2",1,22,0,0,1
"52","F","2","2",1,246,0,0,1
"62","F","1","2",1,125,0,0,0
"107","F","3","2",1,1,0,0,1
"117","F","1","2",1,186,0,0,0
"170","F","2","2",1,94,0,0,0
"192","F","3","2",1,272,0,0,0
"223","F","3","2",1,238,0,0,0
"315","F","1","2",1,15,0,0,1
"318","F","1","2",1,112,0,0,0
"325","F","2","2",1,121,0,0,0
"338","F","4","2",1,250,0,0,0
