"birdID","Sex","Lifespan","Yr","Mated","Terrs","pMate","pFledge","Fledge"
"427","M","1","1",1,216,0.948969176504761,0.118618298154158,1
"472","M","3","1",1,283,0.0842524969484657,0.0895020947543522,0
"123","M","11","1",1,63,0.304330104091775,0.679689103289085,3
"75","M","4","1",1,49,0.793803840199831,0.505070237733889,1
"458","M","6","1",1,139,0.960998432044342,0.233370410569478,1
"108","M","1","1",1,127,0.628211754607037,0.0946093891016919,0
"177","M","5","1",1,141,0.836215182984861,0.272345963283442,0
"367","M","1","1",1,267,0.946689661825076,0.35208139362165,3
"19","M","1","1",1,76,0.502655188087374,0.0920103249247326,0
"246","M","2","1",1,79,0.752991563640535,0.0504466168997946,1
"11","F","4","1",1,139,0,0,1
"21","F","1","1",1,49,0,0,1
"24","F","3","1",1,141,0,0,0
"40","F","8","1",1,79,0,0,1
"89","F","3","1",1,283,0,0,0
"90","F","1","1",1,216,0,0,1
"137","F","7","1",1,63,0,0,3
"281","F","2","1",1,267,0,0,3
"365","F","2","1",1,127,0,0,0
"407","F","2","1",1,76,0,0,0
"443","M","3","1",0,61,0.0749727315269411,0.540698029217416,0
"68","M","2","1",0,227,0.293141892412677,0.0569889076296418,0
"61","M","1","1",0,219,0.0434233224950731,0.00189337339350031,0
"484","M","3","1",0,43,0.15812597470358,0.265393963200511,0
"393","M","8","1",0,158,0.05623192007151,0.633762521898437,0
"305","M","1","1",0,3,0.0906648545060307,0.23152223426412,0
"53","M","8","1",0,222,0.0119953661714959,0.45079393519347,0
"226","M","3","1",0,6,0.371499191503972,0.182266451371512,0
"352","M","2","1",0,179,0.750290953088552,0.089275184787168,0
"92","M","1","1",0,184,0.0135820717550814,0.0153012554440054,0
"339","M","2","1",0,262,0.538029993884265,0.286969205851444,0
"42","M","6","1",0,20,0.300256709514018,0.393240874749608,0
"36","M","1","1",0,163,0.316620373865589,0.0494383290542728,0
"8","F","2","1",0,165,0,0,0
"57","F","1","1",0,295,0,0,0
"64","F","5","1",0,286,0,0,0
"77","F","3","1",0,275,0,0,0
"132","F","3","1",0,126,0,0,0
"208","F","2","1",0,68,0,0,0
"211","F","1","1",0,78,0,0,0
"233","F","1","1",0,194,0,0,0
"294","F","3","1",0,70,0,0,0
"313","F","3","1",0,151,0,0,0
"343","F","2","1",0,269,0,0,0
