"birdID","Sex","Lifespan","Yr","Mated","Terrs","pMate","pFledge","Fledge"
"341","M","4","1",1,28,0.902150931806824,0.298601326765493,1
"85","M","2","1",1,118,0.949707129737362,0.0749797377452962,0
"500","M","3","1",1,276,0.695974229136482,0.278739584855857,0
"219","M","3","1",1,47,0.531711280345917,0.289777925680104,1
"110","M","3","1",1,67,0.648782428586856,0.320778099741443,1
"202","M","2","1",1,262,0.80281364871189,0.0924991747729534,0
"303","M","5","1",1,175,0.631776549680507,0.676644215011038,4
"390","M","3","1",1,65,0.670400677714497,0.180615536163942,0
"375","M","3","1",1,197,0.798211592482403,0.161239574507706,1
"395","M","2","1",1,37,0.567610070109367,0.0514500133163829,0
"169","M","7","1",1,20,0.430358832303964,0.71393066324063,2
"67","F","1","1",1,65,0,0,0
"71","F","2","1",1,175,0,0,4
"140","F","3","1",1,197,0,0,1
"216","F","1","1",1,28,0,0,1
"218","F","3","1",1,118,0,0,0
"321","F","2","1",1,47,0,0,1
"324","F","1","1",1,262,0,0,0
"356","F","1","1",1,20,0,0,2
"364","F","5","1",1,37,0,0,0
"402","F","4","1",1,276,0,0,0
"429","F","4","1",1,67,0,0,1
"107","M","3","1",0,275,0.085947257000953,0.432568120805668,0
"220","M","6","1",0,34,0.367222698384449,0.0748856206191703,0
"308","M","1","1",0,63,0.300246462458745,0.252356633744194,0
"24","M","1","1",0,209,0.0123929323162884,0.227755087363902,0
"287","M","1","1",0,283,0.168854302028194,0.00432862678507405,0
"213","M","2","1",0,108,0.132812057388946,0.0137762939378357,0
"485","M","2","1",0,285,0.0578024631831795,0.0202720483476441,0
"176","M","1","1",0,38,0.249225831823424,0.0453333512752902,0
"414","M","5","1",0,225,0.76647699735657,0.74498123646481,0
"201","M","7","1",0,157,0.296711598238608,0.290598631132472,0
"148","M","4","1",0,97,0.282604456107687,0.106502439652104,0
"438","M","1","1",0,296,0.0705705881118775,0.138974122005639,0
"119","M","1","1",0,234,0.987938133068383,0.179244262760038,0
"89","M","5","1",0,29,0.658835472312451,0.375244041031692,0
"84","M","1","1",0,193,0.119445944670588,0.489144231062352,0
"44","M","3","1",0,136,0.649329248350114,0.383649875805658,0
"316","M","1","1",0,202,0.33266376121901,0.0771832210578486,0
"8","F","6","1",0,91,0,0,0
"23","F","7","1",0,90,0,0,0
"55","F","8","1",0,177,0,0,0
"139","F","4","1",0,253,0,0,0
"143","F","1","1",0,242,0,0,0
"173","F","3","1",0,52,0,0,0
"196","F","1","1",0,100,0,0,0
"212","F","6","1",0,211,0,0,0
"264","F","1","1",0,4,0,0,0
"376","F","2","1",0,1,0,0,0
"378","F","4","1",0,95,0,0,0
"71","F","2","2",1,175,0,0,2
"321","F","2","2",1,47,0,0,0
"364","F","5","2",1,78,0,0,0
"429","F","4","2",1,247,0,0,3
"378","F","4","2",1,198,0,0,0
"80","F","1","2",1,29,0,0,0
"92","F","4","2",1,83,0,0,2
"178","F","1","2",1,255,0,0,0
"259","F","8","2",1,195,0,0,2
"262","F","4","2",1,59,0,0,0
"312","F","4","2",1,179,0,0,3
"342","F","1","2",1,55,0,0,1
"406","F","3","2",1,4,0,0,2
"431","F","3","2",1,269,0,0,0
"8","F","6","2",0,91,0,0,0
"23","F","7","2",0,90,0,0,0
"55","F","8","2",0,177,0,0,0
"173","F","3","2",0,52,0,0,0
"212","F","6","2",0,211,0,0,0
"376","F","2","2",0,1,0,0,0
"140","F","3","2",0,30,0,0,0
"218","F","3","2",0,40,0,0,0
"402","F","4","2",0,241,0,0,0
"139","F","4","2",0,215,0,0,0
"9","F","1","2",0,291,0,0,0
"40","F","2","2",0,202,0,0,0
"200","F","1","2",0,65,0,0,0
"238","F","1","2",0,204,0,0,0
"248","F","4","2",0,199,0,0,0
"334","F","3","2",0,19,0,0,0
